No.	Luminance	Radiance	   x	   y	   u'	   v'	  CCT	  PE	D. Wavelength 
	[cd/sqm]	[W/(sr*sqm)]					[Kelvin]   %	    [nm] 
1   	1.928e+00	6.041e-03	 0.3568	0.3647	0.2142	0.4926	 4649	  17	    575
2   	2.077e+00	7.985e-03	 0.2951	0.2761	0.2062	0.4342	 8999	  19	    464
3   	2.358e+00	1.172e-02	 0.2397	0.1974	0.1961	0.3633	     	  47	    466
4   	2.999e+00	1.886e-02	 0.2051	0.1482	0.1878	0.3054	     	  64	    466
5   	3.786e+00	2.842e-02	 0.1849	0.1205	0.1814	0.2661	     	  74	    466
6   	4.685e+00	3.985e-02	 0.1734	0.1048	0.1774	0.2411	     	  79	    467
7   	5.704e+00	5.273e-02	 0.1667	0.0954	0.1750	0.2253	     	  83	    467
8   	6.913e+00	6.749e-02	 0.1622	0.0898	0.1729	0.2154	     	  85	    467
9   	8.364e+00	8.515e-02	 0.1588	0.0858	0.1711	0.2080	     	  86	    467
10  	9.823e+00	1.028e-01	 0.1566	0.0833	0.1699	0.2034	     	  87	    467
11  	1.183e+01	1.270e-01	 0.1545	0.0809	0.1687	0.1989	     	  88	    467
12  	1.388e+01	1.518e-01	 0.1529	0.0794	0.1677	0.1959	     	  89	    467
13  	1.663e+01	1.843e-01	 0.1516	0.0782	0.1669	0.1936	     	  89	    467
14  	1.939e+01	2.160e-01	 0.1508	0.0779	0.1661	0.1929	     	  90	    467
15  	2.207e+01	2.472e-01	 0.1501	0.0775	0.1654	0.1921	     	  90	    468
16  	2.509e+01	2.810e-01	 0.1494	0.0775	0.1646	0.1921	     	  90	    468
