No.	Luminance	Radiance	   x	   y	   u'	   v'	  CCT	  PE	D. Wavelength 
	[cd/sqm]	[W/(sr*sqm)]					[Kelvin]   %	    [nm] 
1   	2.038e+00	6.452e-03	 0.3531	0.3619	0.2128	0.4908	 4765	  15	    574
2   	3.708e+00	2.645e-02	 0.1902	0.1284	0.1829	0.2777	     	  71	    466
3   	5.112e+00	4.382e-02	 0.1726	0.1039	0.1769	0.2396	     	  80	    467
4   	6.495e+00	6.118e-02	 0.1649	0.0935	0.1740	0.2218	     	  83	    467
5   	7.975e+00	7.916e-02	 0.1606	0.0883	0.1719	0.2125	     	  85	    467
6   	9.221e+00	9.458e-02	 0.1581	0.0851	0.1706	0.2068	     	  87	    467
7   	1.067e+01	1.120e-01	 0.1562	0.0830	0.1697	0.2027	     	  87	    467
8   	1.222e+01	1.309e-01	 0.1546	0.0812	0.1688	0.1994	     	  88	    467
9   	1.377e+01	1.494e-01	 0.1535	0.0801	0.1680	0.1973	     	  89	    467
10  	1.544e+01	1.689e-01	 0.1527	0.0795	0.1674	0.1960	     	  89	    467
11  	1.719e+01	1.894e-01	 0.1519	0.0788	0.1668	0.1948	     	  89	    467
12  	1.882e+01	2.085e-01	 0.1513	0.0783	0.1663	0.1938	     	  90	    467
13  	2.048e+01	2.278e-01	 0.1507	0.0780	0.1658	0.1932	     	  90	    467
14  	2.202e+01	2.449e-01	 0.1504	0.0780	0.1655	0.1931	     	  90	    468
15  	2.336e+01	2.609e-01	 0.1499	0.0778	0.1651	0.1926	     	  90	    468
16  	2.525e+01	2.811e-01	 0.1497	0.0780	0.1646	0.1931	     	  90	    468
