No.	Luminance	Radiance	   x	   y	   u'	   v'	  CCT	  PE	D. Wavelength 
	[cd/sqm]	[W/(sr*sqm)]					[Kelvin]   %	    [nm] 
1   	1.937e+00	6.073e-03	 0.3559	0.3644	0.2137	0.4924	 4678	  16	    574
2   	3.313e+00	8.978e-03	 0.3151	0.4508	0.1620	0.5215	     	  31	    546
3   	6.148e+00	1.504e-02	 0.2787	0.5312	0.1265	0.5422	     	  46	    538
4   	1.113e+01	2.587e-02	 0.2548	0.5807	0.1077	0.5525	     	  55	    535
5   	1.781e+01	4.002e-02	 0.2399	0.6132	0.0972	0.5587	     	  61	    533
6   	2.564e+01	5.679e-02	 0.2328	0.6293	0.0923	0.5615	     	  65	    533
7   	3.409e+01	7.459e-02	 0.2279	0.6403	0.0891	0.5634	     	  67	    533
8   	4.425e+01	9.625e-02	 0.2254	0.6467	0.0874	0.5646	     	  68	    533
9   	5.730e+01	1.238e-01	 0.2236	0.6527	0.0861	0.5656	     	  69	    533
10  	7.027e+01	1.514e-01	 0.2223	0.6562	0.0853	0.5662	     	  70	    533
11  	8.781e+01	1.885e-01	 0.2215	0.6597	0.0846	0.5669	     	  71	    533
12  	1.068e+02	2.287e-01	 0.2213	0.6615	0.0844	0.5672	     	  71	    533
13  	1.278e+02	2.728e-01	 0.2210	0.6638	0.0840	0.5677	     	  72	    533
14  	1.485e+02	3.167e-01	 0.2214	0.6642	0.0841	0.5678	     	  72	    533
15  	1.713e+02	3.647e-01	 0.2218	0.6651	0.0842	0.5681	     	  73	    533
16  	2.018e+02	4.282e-01	 0.2227	0.6663	0.0844	0.5684	     	  73	    534
