No.	Luminance	Radiance	   x	   y	   u'	   v'	  CCT	  PE	D. Wavelength 
	[cd/sqm]	[W/(sr*sqm)]					[Kelvin]   %	    [nm] 
1   	1.966e+00	6.129e-03	 0.3558	0.3635	0.2140	0.4919	 4679	  16	    574
2   	4.277e+00	1.400e-02	 0.3374	0.3503	0.2067	0.4829	 5316	   6	    563
3   	9.256e+00	3.074e-02	 0.3342	0.3475	0.2056	0.4810	 5435	   5	    557
4   	1.769e+01	5.950e-02	 0.3307	0.3434	0.2048	0.4784	 5592	   2	    539
5   	2.850e+01	9.587e-02	 0.3294	0.3430	0.2040	0.4781	 5645	   2	    528
6   	4.109e+01	1.387e-01	 0.3272	0.3418	0.2030	0.4772	 5739	   2	    512
7   	5.621e+01	1.895e-01	 0.3303	0.3430	0.2046	0.4782	 5609	   2	    534
8   	7.203e+01	2.441e-01	 0.3293	0.3407	0.2049	0.4769	 5649	   1	    519
9   	9.308e+01	3.146e-01	 0.3285	0.3419	0.2039	0.4774	 5685	   2	    517
10  	1.156e+02	3.897e-01	 0.3278	0.3428	0.2030	0.4777	 5714	   2	    516
11  	1.440e+02	4.837e-01	 0.3295	0.3451	0.2033	0.4792	 5640	   3	    534
12  	1.747e+02	5.858e-01	 0.3288	0.3458	0.2026	0.4794	 5669	   3	    531
13  	2.110e+02	7.087e-01	 0.3281	0.3451	0.2024	0.4790	 5697	   2	    525
14  	2.449e+02	8.254e-01	 0.3279	0.3436	0.2028	0.4781	 5710	   2	    519
15  	2.818e+02	9.451e-01	 0.3275	0.3458	0.2017	0.4792	 5725	   3	    523
16  	3.293e+02	1.098e+00	 0.3299	0.3486	0.2023	0.4809	 5621	   4	    541
