No.	Luminance	Radiance	   x	   y	   u'	   v'	  CCT	  PE	D. Wavelength 
	[cd/sqm]	[W/(sr*sqm)]					[Kelvin]   %	    [nm] 
1   	2.029e+00	6.405e-03	 0.3529	0.3624	0.2125	0.4910	 4777	  15	    573
2   	2.090e+01	7.404e-02	 0.3235	0.3189	0.2094	0.4644	 5975	   5	    466
3   	3.948e+01	1.384e-01	 0.3254	0.3243	0.2086	0.4677	 5856	   4	    474
4   	5.731e+01	1.996e-01	 0.3247	0.3273	0.2069	0.4692	 5883	   3	    482
5   	7.659e+01	2.655e-01	 0.3271	0.3302	0.2074	0.4711	 5762	   2	    485
6   	9.465e+01	3.272e-01	 0.3276	0.3315	0.2073	0.4719	 5735	   2	    487
7   	1.149e+02	3.947e-01	 0.3262	0.3343	0.2052	0.4731	 5798	   2	    494
8   	1.376e+02	4.698e-01	 0.3282	0.3372	0.2055	0.4749	 5703	   2	    502
9   	1.586e+02	5.399e-01	 0.3274	0.3384	0.2045	0.4754	 5736	   2	    503
10  	1.821e+02	6.193e-01	 0.3283	0.3393	0.2047	0.4760	 5695	   2	    508
11  	2.059e+02	6.977e-01	 0.3272	0.3406	0.2034	0.4765	 5743	   2	    508
12  	2.274e+02	7.691e-01	 0.3274	0.3416	0.2032	0.4771	 5733	   2	    511
13  	2.480e+02	8.388e-01	 0.3274	0.3418	0.2031	0.4771	 5733	   2	    512
14  	2.709e+02	9.117e-01	 0.3273	0.3439	0.2023	0.4782	 5732	   2	    517
15  	2.959e+02	9.893e-01	 0.3285	0.3471	0.2019	0.4800	 5679	   3	    532
16  	3.248e+02	1.083e+00	 0.3300	0.3487	0.2023	0.4810	 5618	   4	    542
