No.	Luminance	Radiance	   x	   y	   u'	   v'	  CCT	  PE	D. Wavelength 
	[cd/sqm]	[W/(sr*sqm)]					[Kelvin]   %	    [nm] 
1   	1.937e+00	6.035e-03	 0.3572	0.3657	0.2141	0.4932	 4642	  17	    574
2   	2.663e+00	8.714e-03	 0.4362	0.3554	0.2730	0.5004	 2599	  38	    596
3   	4.111e+00	1.412e-02	 0.5119	0.3460	0.3342	0.5081	 1694	  57	    604
4   	6.574e+00	2.322e-02	 0.5675	0.3397	0.3821	0.5146	 1333	  72	    608
5   	9.780e+00	3.522e-02	 0.5970	0.3364	0.4087	0.5182	 1183	  80	    609
6   	1.334e+01	4.853e-02	 0.6131	0.3335	0.4245	0.5197	     	  84	    610
7   	1.774e+01	6.510e-02	 0.6244	0.3324	0.4352	0.5212	     	  87	    611
8   	2.248e+01	8.274e-02	 0.6312	0.3318	0.4415	0.5221	     	  89	    611
9   	2.853e+01	1.053e-01	 0.6360	0.3318	0.4456	0.5230	     	  90	    611
10  	3.461e+01	1.283e-01	 0.6401	0.3311	0.4497	0.5234	     	  91	    611
11  	4.250e+01	1.577e-01	 0.6432	0.3311	0.4525	0.5240	     	  92	    611
12  	5.085e+01	1.892e-01	 0.6457	0.3307	0.4550	0.5243	     	  93	    611
13  	6.109e+01	2.276e-01	 0.6482	0.3307	0.4571	0.5248	     	  94	    611
14  	7.107e+01	2.652e-01	 0.6493	0.3308	0.4580	0.5250	     	  94	    611
15  	8.015e+01	2.995e-01	 0.6504	0.3306	0.4591	0.5251	     	  94	    611
16  	9.390e+01	3.515e-01	 0.6510	0.3308	0.4595	0.5253	     	  95	    611
