No.	Luminance	Radiance	   x	   y	   u'	   v'	  CCT	  PE	D. Wavelength 
	[cd/sqm]	[W/(sr*sqm)]					[Kelvin]   %	    [nm] 
1   	2.032e+00	6.435e-03	 0.3543	0.3622	0.2135	0.4911	 4724	  15	    574
2   	7.819e+00	2.789e-02	 0.5771	0.3377	0.3914	0.5153	 1275	  74	    609
3   	1.365e+01	4.971e-02	 0.6103	0.3336	0.4222	0.5192	     	  83	    610
4   	1.858e+01	6.819e-02	 0.6230	0.3323	0.4340	0.5209	     	  87	    611
5   	2.413e+01	8.906e-02	 0.6310	0.3318	0.4413	0.5221	     	  89	    611
6   	2.998e+01	1.108e-01	 0.6360	0.3316	0.4457	0.5229	     	  90	    611
7   	3.546e+01	1.312e-01	 0.6395	0.3312	0.4491	0.5234	     	  91	    611
8   	4.169e+01	1.547e-01	 0.6419	0.3310	0.4514	0.5237	     	  92	    611
9   	4.752e+01	1.766e-01	 0.6437	0.3310	0.4529	0.5241	     	  92	    611
10  	5.452e+01	2.031e-01	 0.6454	0.3306	0.4548	0.5242	     	  93	    611
11  	6.078e+01	2.264e-01	 0.6474	0.3308	0.4563	0.5247	     	  93	    611
12  	6.730e+01	2.512e-01	 0.6484	0.3309	0.4571	0.5249	     	  94	    611
13  	7.242e+01	2.704e-01	 0.6490	0.3306	0.4580	0.5248	     	  94	    611
14  	7.882e+01	2.941e-01	 0.6504	0.3306	0.4591	0.5251	     	  94	    611
15  	8.475e+01	3.168e-01	 0.6505	0.3307	0.4592	0.5252	     	  94	    611
16  	9.311e+01	3.489e-01	 0.6510	0.3306	0.4597	0.5252	     	  95	    611
