Name	red	green	blue
Date	09/02/2018	09/02/2018	09/02/2018
Time	05:46pm	05:47pm	05:47pm
Integration time [ms]	731	1592	2365
Luminance[cd/sqm]	9.30E+01	2.01E+02	2.51E+01
Radiance[W/sr*sqm]	3.48E-01	4.27E-01	2.81E-01
CCT [K]	0	0	0
DWl[nm]	611	534	468
PE[%]	94.8	73.1	90.1
x	0.6519	0.2228	0.1494
y	0.3307	0.6664	0.0776
u'	0.4603	0.0845	0.1645
v'	0.5254	0.5684	0.1923
Reference Illuminant	daylight >7000K	daylight >7000K	daylight >7000K
CCT [K]	8999	8999	8999
R1	66.3	66.3	66.3
R2	88.6	88.6	88.6
R3	60.8	60.8	60.8
R4	64.4	64.4	64.4
R5	78.7	78.7	78.7
R6	88.8	88.8	88.8
R7	85.9	85.9	85.9
R8	78.5	78.5	78.5
R9	55.8	55.8	55.8
R10	88	88	88
R11	66.5	66.5	66.5
R12	88.1	88.1	88.1
R13	69.7	69.7	69.7
R14	73.4	73.4	73.4
Ra	76.5	76.5	76.5
			
wavelength [nm]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]
			
380	3.16642E-06	2.66103E-06	0
381	4.63692E-06	1.26109E-06	0
382	5.68379E-06	1.04496E-07	3.47217E-08
383	6.05984E-06	0	1.55254E-06
384	5.93895E-06	0	3.28144E-06
385	5.58075E-06	0	4.8588E-06
386	5.28715E-06	0	6.03179E-06
387	5.19875E-06	2.48912E-07	6.43463E-06
388	5.37512E-06	9.26785E-07	6.00176E-06
389	5.60164E-06	1.57966E-06	5.1142E-06
390	5.64381E-06	2.0766E-06	4.18429E-06
391	5.27726E-06	2.29229E-06	3.60756E-06
392	4.30881E-06	2.11621E-06	3.74677E-06
393	2.93798E-06	1.61089E-06	4.68353E-06
394	1.673E-06	9.75058E-07	6.27636E-06
395	1.01155E-06	4.03797E-07	8.38277E-06
396	1.43266E-06	8.46012E-08	1.08719E-05
397	3.26505E-06	1.64404E-07	1.36264E-05
398	6.08208E-06	5.97872E-07	1.66349E-05
399	9.2125E-06	1.27583E-06	1.99206E-05
400	1.20086E-05	2.09293E-06	2.3506E-05
401	1.38906E-05	2.95677E-06	2.74986E-05
402	1.44817E-05	3.76363E-06	3.17546E-05
403	1.40165E-05	4.41346E-06	3.59731E-05
404	1.2799E-05	4.8081E-06	3.98312E-05
405	1.11266E-05	4.85159E-06	4.30131E-05
406	9.28728E-06	4.45886E-06	4.52628E-05
407	7.45987E-06	3.6807E-06	4.7038E-05
408	5.73905E-06	2.68739E-06	4.94356E-05
409	4.21469E-06	1.6497E-06	5.35512E-05
410	2.97479E-06	7.34883E-07	6.04577E-05
411	2.12276E-06	8.48847E-08	7.11287E-05
412	1.8404E-06	0	8.578E-05
413	2.33679E-06	0	0.00010444
414	3.81737E-06	0	0.000127135
415	6.48236E-06	1.97059E-07	0.00015391
416	1.03946E-05	8.29023E-07	0.000186941
417	1.53068E-05	1.67928E-06	0.000230899
418	2.09513E-05	2.73783E-06	0.000291028
419	2.70628E-05	3.99472E-06	0.000372525
420	3.33545E-05	5.43067E-06	0.000479623
421	3.92371E-05	6.90878E-06	0.000605084
422	4.39461E-05	8.21839E-06	0.000734407
423	4.67138E-05	9.1484E-06	0.000852997
424	4.67802E-05	9.48979E-06	0.000946401
425	4.40818E-05	9.2384E-06	0.001013822
426	4.0936E-05	9.09175E-06	0.00110096
427	4.02025E-05	9.90277E-06	0.00126427
428	4.46841E-05	1.25097E-05	0.001559074
429	5.70523E-05	1.7712E-05	0.002037986
430	7.70777E-05	2.54573E-05	0.002693224
431	0.000101416	3.47841E-05	0.003453648
432	0.000126419	4.46355E-05	0.00423936
433	0.000148525	5.39816E-05	0.004973297
434	0.000164629	6.18819E-05	0.005585707
435	0.000174158	6.78814E-05	0.006046792
436	0.000177666	7.17892E-05	0.00634903
437	0.000175263	7.32434E-05	0.006469652
438	0.000167271	7.19662E-05	0.006393326
439	0.000154692	6.82091E-05	0.006140809
440	0.000139647	6.30922E-05	0.005792094
441	0.000124505	5.78833E-05	0.005439015
442	0.000111304	5.36997E-05	0.005159607
443	0.000102006	5.15917E-05	0.005029321
444	9.63796E-05	5.13373E-05	0.005038785
445	9.30911E-05	5.20774E-05	0.005136121
446	9.07961E-05	5.29467E-05	0.005269095
447	8.81472E-05	5.30782E-05	0.005385244
448	8.43745E-05	5.20325E-05	0.005450429
449	7.99117E-05	5.02613E-05	0.00546861
450	7.53435E-05	4.83287E-05	0.005448519
451	7.11474E-05	4.67285E-05	0.005390635
452	6.79697E-05	4.60513E-05	0.005311864
453	6.5715E-05	4.6296E-05	0.005216795
454	6.39293E-05	4.71632E-05	0.005107737
455	6.21552E-05	4.83506E-05	0.004986964
456	5.99941E-05	4.96045E-05	0.004861314
457	5.711E-05	5.07663E-05	0.004727335
458	5.36298E-05	5.21399E-05	0.004584426
459	4.97356E-05	5.40859E-05	0.004431719
460	4.56096E-05	5.69653E-05	0.004268344
461	4.1499E-05	6.12149E-05	0.004099637
462	3.75669E-05	6.69782E-05	0.003921302
463	3.40781E-05	7.44013E-05	0.003737065
464	3.1299E-05	8.363E-05	0.003550696
465	2.94967E-05	9.48123E-05	0.00336598
466	2.8782E-05	0.000108467	0.003191158
467	2.87352E-05	0.000125164	0.003020226
468	2.89325E-05	0.000145673	0.002853099
469	2.89448E-05	0.000170776	0.002689686
470	2.83885E-05	0.000201208	0.002530005
471	2.72102E-05	0.000236418	0.002366881
472	2.57636E-05	0.000276951	0.002210732
473	2.43056E-05	0.000322767	0.002062843
474	2.30915E-05	0.000373819	0.001924487
475	2.22741E-05	0.000429376	0.00179615
476	2.17938E-05	0.000486578	0.001673474
477	2.16696E-05	0.000544289	0.001559601
478	2.18711E-05	0.000600593	0.001453572
479	2.23884E-05	0.000653925	0.001354634
480	2.33228E-05	0.000704631	0.001263157
481	2.47788E-05	0.000752642	0.001178208
482	2.69245E-05	0.000799908	0.001102454
483	2.98858E-05	0.000847406	0.001036565
484	3.35646E-05	0.000895679	0.000980439
485	3.76233E-05	0.000944805	0.000933136
486	4.18089E-05	0.000997035	0.000895664
487	4.57056E-05	0.001050446	0.000864949
488	4.89857E-05	0.001105634	0.000840265
489	5.13631E-05	0.001164958	0.000821465
490	5.2561E-05	0.001231127	0.000808522
491	5.23985E-05	0.001309186	0.000802846
492	5.05414E-05	0.001399789	0.000802982
493	4.72031E-05	0.001505718	0.000809142
494	4.2883E-05	0.001629777	0.000821653
495	3.80856E-05	0.001774778	0.000840848
496	3.33399E-05	0.001944913	0.000867665
497	2.91066E-05	0.002142885	0.000901806
498	2.58506E-05	0.002374144	0.000943433
499	2.40367E-05	0.002644318	0.000992696
500	2.41318E-05	0.002959062	0.001049744
501	2.63354E-05	0.003314602	0.001111668
502	2.99931E-05	0.00371414	0.00117873
503	3.41173E-05	0.004152523	0.001248291
504	3.77251E-05	0.004624618	0.001317721
505	3.99021E-05	0.005125163	0.001384419
506	4.06941E-05	0.005651034	0.001447106
507	4.07803E-05	0.006189558	0.001502518
508	4.08848E-05	0.006731609	0.001548412
509	4.17264E-05	0.00726803	0.001582551
510	4.36353E-05	0.007785973	0.001602861
511	4.61509E-05	0.008247781	0.001603999
512	4.89344E-05	0.008649885	0.001587827
513	5.15589E-05	0.008972785	0.001552713
514	5.36646E-05	0.009201255	0.001497896
515	5.51692E-05	0.009337872	0.001426329
516	5.60671E-05	0.009390376	0.001342
517	5.63482E-05	0.009365598	0.001248729
518	5.6009E-05	0.009270747	0.001150309
519	5.5093E-05	0.00911345	0.001049889
520	5.36728E-05	0.00890156	0.000950206
521	5.19161E-05	0.008658772	0.000855542
522	4.97914E-05	0.008375806	0.000766637
523	4.73941E-05	0.008062081	0.000684978
524	4.48522E-05	0.007729485	0.000610502
525	4.22959E-05	0.00739004	0.000543046
526	3.98697E-05	0.007058391	0.000482626
527	3.7658E-05	0.006741369	0.000428745
528	3.56869E-05	0.006442741	0.000380843
529	3.39698E-05	0.006165286	0.000338309
530	3.25201E-05	0.00591178	0.000300534
531	3.13643E-05	0.00568155	0.000266955
532	3.06009E-05	0.00545448	0.000237253
533	3.03536E-05	0.005203769	0.000211196
534	3.0746E-05	0.004902635	0.000188551
535	3.19305E-05	0.004530483	0.000169153
536	3.43961E-05	0.004139217	0.000153546
537	3.88833E-05	0.003832751	0.000142903
538	4.61239E-05	0.003713849	0.000138335
539	5.68068E-05	0.003881756	0.000140888
540	7.03568E-05	0.004335147	0.000149755
541	8.48729E-05	0.004964295	0.000162244
542	9.81402E-05	0.005639021	0.000175056
543	0.000108035	0.006235293	0.000185119
544	0.000113315	0.006662194	0.000190254
545	0.000114497	0.006895182	0.000190071
546	0.000112276	0.006915503	0.000184339
547	0.000107419	0.006708412	0.000172938
548	0.000100553	0.006268741	0.000156133
549	9.1954E-05	0.005630034	0.00013567
550	8.18215E-05	0.004834062	0.000113609
551	7.03328E-05	0.003921406	9.19868E-05
552	5.78548E-05	0.002943406	7.26711E-05
553	4.54656E-05	0.001990376	5.61065E-05
554	3.45016E-05	0.001166887	4.22604E-05
555	2.63019E-05	0.000577702	3.10994E-05
556	2.20725E-05	0.000313311	2.26294E-05
557	2.10979E-05	0.000323986	1.64559E-05
558	2.17939E-05	0.000488513	1.21759E-05
559	2.25466E-05	0.000683374	9.3801E-06
560	2.18222E-05	0.000789712	7.65944E-06
561	1.95024E-05	0.000777622	6.66175E-06
562	1.68022E-05	0.000695316	6.155E-06
563	1.48738E-05	0.000589985	5.87241E-06
564	1.48254E-05	0.000507504	5.55542E-06
565	1.67402E-05	0.00046372	5.13444E-06
566	1.96306E-05	0.000443145	4.73551E-06
567	2.24686E-05	0.000429063	4.49566E-06
568	2.42524E-05	0.000405061	4.54787E-06
569	2.51316E-05	0.000370611	4.91667E-06
570	2.68263E-05	0.00034684	5.47879E-06
571	3.1167E-05	0.000356407	6.10116E-06
572	3.99607E-05	0.000421647	6.65171E-06
573	5.3862E-05	0.000548621	7.12048E-06
574	7.15356E-05	0.000715285	7.70742E-06
575	9.14528E-05	0.000896866	8.63277E-06
576	0.000111977	0.001067557	1.01044E-05
577	0.000132807	0.001209196	1.21888E-05
578	0.000155954	0.001314736	1.46124E-05
579	0.000183719	0.001378661	1.70621E-05
580	0.000218379	0.00139551	1.9227E-05
581	0.0002616	0.001367836	2.09705E-05
582	0.000311525	0.001305878	2.24054E-05
583	0.000366239	0.001224521	2.37267E-05
584	0.000423828	0.001138655	2.51291E-05
585	0.000484358	0.001060973	2.66757E-05
586	0.000554051	0.000999355	2.81017E-05
587	0.000638882	0.000958022	2.90118E-05
588	0.000745392	0.000942657	2.90403E-05
589	0.000875998	0.00095416	2.79804E-05
590	0.001020843	0.000979226	2.61001E-05
591	0.001170808	0.001004479	2.3818E-05
592	0.001311343	0.001011262	2.14186E-05
593	0.001434241	0.000988437	1.92224E-05
594	0.001544074	0.000940758	1.74288E-05
595	0.00164792	0.000876077	1.62166E-05
596	0.001750075	0.000801055	1.57411E-05
597	0.001848274	0.000723695	1.60207E-05
598	0.001902162	0.000645592	1.64844E-05
599	0.001864485	0.000567459	1.64529E-05
600	0.001687633	0.000490018	1.52413E-05
601	0.001397526	0.000416277	1.27288E-05
602	0.001241009	0.000360956	1.05257E-05
603	0.0014957	0.000338838	1.04771E-05
604	0.002438675	0.000364674	1.44243E-05
605	0.004209733	0.000445066	2.33062E-05
606	0.006616597	0.000566919	3.58772E-05
607	0.009416523	0.000714094	5.0561E-05
608	0.012367078	0.0008705	6.57844E-05
609	0.015227545	0.00102062	8.01889E-05
610	0.017760776	0.001150121	9.28602E-05
611	0.019694851	0.001242595	0.000102755
612	0.020825002	0.001285964	0.000109179
613	0.020984508	0.001269957	0.000111511
614	0.020115527	0.001190352	0.000109497
615	0.01817104	0.001043536	0.000102922
616	0.015080259	0.000824723	9.14046E-05
