Name	red	green	blue
Date	09/02/2018	09/02/2018	09/02/2018
Time	06:45pm	06:45pm	06:46pm
Integration time [ms]	727	1599	1995
Luminance[cd/sqm]	9.31E+01	2.01E+02	2.52E+01
Radiance[W/sr*sqm]	3.49E-01	4.27E-01	2.81E-01
CCT [K]	0	0	0
DWl[nm]	611	533	468
PE[%]	94.4	72.9	90
x	0.6508	0.2228	0.1497
y	0.3305	0.6656	0.0778
u'	0.4596	0.0846	0.1647
v'	0.5251	0.5683	0.1927
Reference Illuminant	Planckian radiator	Planckian radiator	Planckian radiator
CCT [K]	4765	4765	4765
R1	83.4	83.4	83.4
R2	97.7	97.7	97.7
R3	67.9	67.9	67.9
R4	80.3	80.3	80.3
R5	92.4	92.4	92.4
R6	97.3	97.3	97.3
R7	91.3	91.3	91.3
R8	93.4	93.4	93.4
R9	67.2	67.2	67.2
R10	81.2	81.2	81.2
R11	84.2	84.2	84.2
R12	82.3	82.3	82.3
R13	84.2	84.2	84.2
R14	77.9	77.9	77.9
Ra	87.96	87.96	87.96
			
wavelength [nm]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]
			
380	1.60934E-05	1.15654E-07	1.14545E-07
381	1.25482E-05	1.14879E-07	8.57622E-07
382	9.59181E-06	8.76538E-08	2.06049E-06
383	7.78408E-06	2.9708E-08	3.69686E-06
384	6.84034E-06	0	5.48636E-06
385	6.29947E-06	0	7.10922E-06
386	5.8167E-06	0	8.38108E-06
387	4.91614E-06	1.2825E-07	8.94402E-06
388	3.4945E-06	3.59599E-07	8.72083E-06
389	1.93909E-06	6.03829E-07	7.99636E-06
390	6.72756E-07	7.7875E-07	7.08169E-06
391	1.00834E-07	8.05644E-07	6.27556E-06
392	5.8581E-07	6.16631E-07	5.85319E-06
393	2.03689E-06	2.76439E-07	5.91031E-06
394	4.00548E-06	0	6.39958E-06
395	6.04981E-06	0	7.27132E-06
396	7.74974E-06	1.9126E-08	8.48257E-06
397	8.7562E-06	6.7537E-07	1.0016E-05
398	9.08581E-06	1.64264E-06	1.20374E-05
399	8.87708E-06	2.6983E-06	1.47686E-05
400	8.26375E-06	3.62752E-06	1.8424E-05
401	7.3983E-06	4.23688E-06	2.32817E-05
402	6.42172E-06	4.41253E-06	2.92186E-05
403	5.59884E-06	4.26383E-06	3.55457E-05
404	5.20146E-06	3.92522E-06	4.151E-05
405	5.49532E-06	3.52816E-06	4.63752E-05
406	6.72062E-06	3.19658E-06	4.94955E-05
407	8.71754E-06	2.94894E-06	5.13115E-05
408	1.09895E-05	2.71667E-06	5.32234E-05
409	1.30387E-05	2.42965E-06	5.66344E-05
410	1.43777E-05	2.01922E-06	6.29191E-05
411	1.46802E-05	1.44685E-06	7.33013E-05
412	1.43582E-05	8.19426E-07	8.79959E-05
413	1.40741E-05	2.92393E-07	0.000106951
414	1.44785E-05	1.84708E-08	0.000130115
415	1.62064E-05	1.46894E-07	0.000157456
416	1.9495E-05	7.46136E-07	0.000191033
417	2.37282E-05	1.73897E-06	0.000235303
418	2.82432E-05	3.03329E-06	0.000295293
419	3.23826E-05	4.53777E-06	0.000375985
420	3.55376E-05	6.16178E-06	0.000481434
421	3.76187E-05	7.81202E-06	0.000604673
422	3.89059E-05	9.39804E-06	0.000731768
423	3.96752E-05	1.08291E-05	0.000848691
424	4.01997E-05	1.20155E-05	0.00094155
425	4.09422E-05	1.29861E-05	0.001009864
426	4.30085E-05	1.41729E-05	0.001098825
427	4.76784E-05	1.61057E-05	0.001264197
428	5.61965E-05	1.93019E-05	0.001560624
429	6.97424E-05	2.42549E-05	0.002040071
430	8.80169E-05	3.09277E-05	0.002694727
431	0.000109197	3.87368E-05	0.00345412
432	0.000131198	4.70053E-05	0.004239046
433	0.000152026	5.50885E-05	0.004973133
434	0.000169801	6.23712E-05	0.005587137
435	0.000183233	6.83903E-05	0.006050733
436	0.000191486	7.28293E-05	0.00635551
437	0.000193261	7.52003E-05	0.006477803
438	0.000187493	7.51004E-05	0.006401397
439	0.00017455	7.26327E-05	0.00614688
440	0.000157151	6.87302E-05	0.005795245
441	0.000138396	6.4478E-05	0.005439434
442	0.000121004	6.0797E-05	0.005158581
443	0.000107615	5.85834E-05	0.005029077
444	9.83771E-05	5.77799E-05	0.005041031
445	9.21893E-05	5.78516E-05	0.005141323
446	8.79401E-05	5.82596E-05	0.005276462
447	8.45141E-05	5.84627E-05	0.005392735
448	8.11749E-05	5.81316E-05	0.005455525
449	7.79746E-05	5.73774E-05	0.005469929
450	7.50641E-05	5.63668E-05	0.005446023
451	7.24833E-05	5.51821E-05	0.005385642
452	7.04723E-05	5.40709E-05	0.005306882
453	6.88555E-05	5.31152E-05	0.005213983
454	6.72863E-05	5.23509E-05	0.005108012
455	6.54167E-05	5.18138E-05	0.004989995
456	6.29603E-05	5.15881E-05	0.004865531
457	5.97043E-05	5.17345E-05	0.00473055
458	5.59431E-05	5.25279E-05	0.004585245
459	5.20319E-05	5.4266E-05	0.004429733
460	4.8326E-05	5.72466E-05	0.004264131
461	4.52204E-05	6.18377E-05	0.004094655
462	4.27089E-05	6.80502E-05	0.003916882
463	4.07077E-05	7.58594E-05	0.003733812
464	3.91301E-05	8.52389E-05	0.003548479
465	3.78895E-05	9.61647E-05	0.003363928
466	3.69905E-05	0.000109148	0.003188094
467	3.63611E-05	0.000125087	0.003015589
468	3.60046E-05	0.00014513	0.002847059
469	3.59242E-05	0.000170441	0.002683158
470	3.61093E-05	0.000202075	0.002524529
471	3.63069E-05	0.000239245	0.002363614
472	3.64498E-05	0.000281986	0.00220989
473	3.63481E-05	0.000329746	0.00206372
474	3.58141E-05	0.00038197	0.001925467
475	3.47974E-05	0.000437729	0.001795407
476	3.3398E-05	0.000494436	0.001670125
477	3.18847E-05	0.000551314	0.0015538
478	3.04484E-05	0.000606783	0.001446501
479	2.92892E-05	0.000659566	0.001348268
480	2.86677E-05	0.000710031	0.00125897
481	2.88221E-05	0.000758028	0.001176728
482	3.00682E-05	0.000805445	0.001103261
483	3.2653E-05	0.000853186	0.001038344
484	3.6222E-05	0.000901686	0.000981718
485	3.97775E-05	0.000950875	0.000933096
486	4.23963E-05	0.001002868	0.000894159
487	4.29845E-05	0.001055582	0.000862502
488	4.10063E-05	0.001109556	0.000837868
489	3.74836E-05	0.001167393	0.000819923
490	3.37521E-05	0.001232111	0.000808315
491	3.11969E-05	0.001309056	0.00080414
492	3.0954E-05	0.001399157	0.000805635
493	3.27792E-05	0.001505171	0.000812801
494	3.55199E-05	0.001629683	0.000825819
495	3.80067E-05	0.001775285	0.000844876
496	3.9105E-05	0.001945948	0.000870768
497	3.83309E-05	0.002144304	0.000903257
498	3.64096E-05	0.002375971	0.000942908
499	3.41822E-05	0.002646772	0.000990312
500	3.24941E-05	0.002962558	0.001046063
501	3.19628E-05	0.003319644	0.00110761
502	3.26335E-05	0.003720904	0.001175111
503	3.426E-05	0.004160725	0.0012457
504	3.65973E-05	0.004633516	0.001316523
505	3.94003E-05	0.005133605	0.001384754
506	4.24434E-05	0.005658125	0.001448933
507	4.54303E-05	0.006195146	0.001505634
508	4.80931E-05	0.006736299	0.001552459
509	5.01664E-05	0.007273178	0.001587012
510	5.15836E-05	0.007793124	0.001607161
511	5.25138E-05	0.008257659	0.001607673
512	5.33904E-05	0.008662317	0.001590559
513	5.45324E-05	0.008986707	0.001554322
514	5.61588E-05	0.009214888	0.001498354
515	5.80693E-05	0.009349482	0.001425828
516	5.99551E-05	0.009398479	0.00134097
517	6.15054E-05	0.009368953	0.001247833
518	6.24266E-05	0.009268401	0.001150407
519	6.25569E-05	0.009105209	0.00105163
520	6.18165E-05	0.008888284	0.000953781
521	6.02383E-05	0.008642338	0.000860686
522	5.76322E-05	0.008359134	0.000772634
523	5.42231E-05	0.008048179	0.000690951
524	5.06253E-05	0.007720238	0.000615791
525	4.74772E-05	0.007386127	0.000547232
526	4.54324E-05	0.007059291	0.000485534
527	4.47451E-05	0.006745704	0.000430411
528	4.47178E-05	0.006449181	0.000381441
529	4.44933E-05	0.006172695	0.000338141
530	4.32155E-05	0.005919216	0.000300031
531	4.02895E-05	0.005688276	0.000266629
532	3.65753E-05	0.005459994	0.000237457
533	3.34377E-05	0.005207819	0.000212036
534	3.22406E-05	0.004905219	0.000189891
535	3.42402E-05	0.004531842	0.000170627
536	3.94001E-05	0.004139764	0.000154775
537	4.68637E-05	0.003833025	0.000143631
538	5.57496E-05	0.003714511	0.000138433
539	6.51927E-05	0.003883577	0.000140352
540	7.4754E-05	0.004338578	0.000148659
541	8.46287E-05	0.004968978	0.000160687
542	9.47934E-05	0.005643747	0.000173159
543	0.000105327	0.006238006	0.000183026
544	0.00011553	0.006660753	0.000188131
545	0.00012316	0.006888885	0.000188102
546	0.000125744	0.00690527	0.000182728
547	0.000120876	0.006696787	0.000171904
548	0.000107409	0.006259223	0.000155863
549	8.85595E-05	0.00562481	0.000136146
550	6.84679E-05	0.004833523	0.00011457
551	5.12713E-05	0.003924145	9.29301E-05
552	4.04028E-05	0.00294658	7.29412E-05
553	3.50578E-05	0.001991763	5.53919E-05
554	3.29734E-05	0.001165595	4.07662E-05
555	3.18815E-05	0.000574175	2.95487E-05
556	2.98069E-05	0.000309181	2.21798E-05
557	2.64906E-05	0.000320854	1.79673E-05
558	2.27877E-05	0.000487286	1.58022E-05
559	1.9574E-05	0.000684243	1.45559E-05
560	1.76899E-05	0.000792177	1.31402E-05
561	1.72189E-05	0.000780906	1.12273E-05
562	1.78421E-05	0.000698725	9.21817E-06
563	1.91507E-05	0.000592911	7.47107E-06
564	2.07415E-05	0.000509431	6.33232E-06
565	2.23257E-05	0.000464342	5.87308E-06
566	2.37288E-05	0.000442487	5.87704E-06
567	2.47916E-05	0.000427484	6.11736E-06
568	2.53669E-05	0.000403249	6.36873E-06
569	2.59907E-05	0.000369242	6.50032E-06
570	2.81323E-05	0.000346127	6.50995E-06
571	3.33264E-05	0.000356062	6.40528E-06
572	4.30846E-05	0.000420891	6.19378E-06
573	5.77437E-05	0.000546597	5.96508E-06
574	7.56119E-05	0.000711771	5.94967E-06
575	9.48008E-05	0.000892344	6.39141E-06
576	0.000113316	0.001063214	7.52455E-06
577	0.000130991	0.00120642	9.44741E-06
578	0.000150969	0.001314095	1.19426E-05
