No.	Luminance	Radiance	   x	   y	   u'	   v'	  CCT	  PE	D. Wavelength 
	[cd/sqm]	[W/(sr*sqm)]					[Kelvin]   %	    [nm] 
1   	3.631e-01	2.398e-03	 0.2901	0.2973	0.1938	0.4469	 8650	  18	    480
2   	3.628e-01	2.522e-03	 0.2668	0.2565	0.1925	0.4163	16796	  30	    474
3   	4.468e-01	3.818e-03	 0.2112	0.1506	0.1926	0.3092	     	  62	    464
4   	6.498e-01	7.012e-03	 0.1763	0.0919	0.1880	0.2205	     	  81	    463
5   	1.052e+00	1.281e-02	 0.1660	0.0742	0.1866	0.1876	     	  87	    462
6   	1.519e+00	2.008e-02	 0.1606	0.0651	0.1857	0.1693	     	  90	    462
7   	2.129e+00	2.938e-02	 0.1583	0.0607	0.1855	0.1601	     	  91	    462
8   	2.954e+00	4.159e-02	 0.1570	0.0587	0.1852	0.1559	     	  92	    462
9   	3.895e+00	5.592e-02	 0.1556	0.0569	0.1847	0.1518	     	  92	    462
10  	4.994e+00	7.235e-02	 0.1549	0.0561	0.1843	0.1501	     	  93	    462
11  	6.303e+00	9.124e-02	 0.1548	0.0559	0.1842	0.1496	     	  93	    462
12  	7.794e+00	1.133e-01	 0.1542	0.0555	0.1837	0.1487	     	  93	    462
13  	9.447e+00	1.365e-01	 0.1539	0.0558	0.1831	0.1494	     	  93	    462
14  	1.138e+01	1.636e-01	 0.1536	0.0560	0.1826	0.1498	     	  93	    462
15  	1.355e+01	1.928e-01	 0.1537	0.0566	0.1823	0.1512	     	  93	    463
16  	1.686e+01	2.349e-01	 0.1533	0.0580	0.1809	0.1540	     	  93	    463
