No.	Luminance	Radiance	   x	   y	   u'	   v'	  CCT	  PE	D. Wavelength 
	[cd/sqm]	[W/(sr*sqm)]					[Kelvin]   %	    [nm] 
1   	4.194e-01	2.593e-03	 0.2947	0.3037	0.1947	0.4514	 8060	  16	    481
2   	1.639e+00	2.111e-02	 0.1614	0.0666	0.1857	0.1724	     	  89	    462
3   	2.803e+00	3.868e-02	 0.1577	0.0600	0.1853	0.1587	     	  91	    462
4   	3.876e+00	5.485e-02	 0.1563	0.0578	0.1849	0.1539	     	  92	    462
5   	4.878e+00	6.977e-02	 0.1554	0.0568	0.1844	0.1517	     	  92	    462
6   	5.913e+00	8.528e-02	 0.1551	0.0562	0.1844	0.1503	     	  93	    462
7   	6.937e+00	1.001e-01	 0.1547	0.0561	0.1840	0.1500	     	  93	    462
8   	8.034e+00	1.160e-01	 0.1543	0.0559	0.1836	0.1497	     	  93	    462
9   	8.947e+00	1.291e-01	 0.1543	0.0559	0.1835	0.1497	     	  93	    462
10  	9.912e+00	1.430e-01	 0.1540	0.0558	0.1832	0.1495	     	  93	    462
11  	1.106e+01	1.585e-01	 0.1540	0.0562	0.1830	0.1503	     	  93	    462
12  	1.206e+01	1.718e-01	 0.1540	0.0566	0.1827	0.1510	     	  93	    462
13  	1.309e+01	1.857e-01	 0.1537	0.0568	0.1822	0.1515	     	  93	    463
14  	1.419e+01	2.000e-01	 0.1538	0.0572	0.1820	0.1524	     	  93	    463
15  	1.560e+01	2.182e-01	 0.1537	0.0577	0.1816	0.1535	     	  93	    463
16  	1.712e+01	2.372e-01	 0.1535	0.0583	0.1810	0.1547	     	  92	    463
