No.	Luminance	Radiance	   x	   y	   u'	   v'	  CCT	  PE	D. Wavelength 
	[cd/sqm]	[W/(sr*sqm)]					[Kelvin]   %	    [nm] 
1   	3.556e-01	2.383e-03	 0.2925	0.2915	0.1979	0.4437	 8627	  18	    476
2   	4.661e-01	2.627e-03	 0.2889	0.3298	0.1812	0.4652	 7890	  15	    491
3   	1.458e+00	4.512e-03	 0.2875	0.4835	0.1398	0.5289	     	  34	    536
4   	3.763e+00	8.855e-03	 0.2895	0.5568	0.1272	0.5505	     	  56	    543
5   	7.155e+00	1.529e-02	 0.2929	0.5842	0.1243	0.5579	     	  65	    546
6   	1.258e+01	2.568e-02	 0.2932	0.5963	0.1226	0.5608	     	  69	    546
7   	1.926e+01	3.834e-02	 0.2939	0.6036	0.1218	0.5626	     	  71	    547
8   	2.768e+01	5.426e-02	 0.2949	0.6078	0.1216	0.5637	     	  72	    547
9   	3.798e+01	7.363e-02	 0.2956	0.6108	0.1214	0.5645	     	  74	    547
10  	4.891e+01	9.416e-02	 0.2963	0.6127	0.1214	0.5650	     	  74	    547
11  	6.246e+01	1.196e-01	 0.2973	0.6139	0.1217	0.5654	     	  75	    548
12  	7.775e+01	1.481e-01	 0.2981	0.6157	0.1218	0.5659	     	  76	    548
13  	9.422e+01	1.787e-01	 0.2990	0.6166	0.1220	0.5662	     	  76	    548
14  	1.116e+02	2.110e-01	 0.3003	0.6171	0.1225	0.5665	     	  77	    548
15  	1.321e+02	2.488e-01	 0.3018	0.6177	0.1231	0.5668	     	  77	    549
16  	1.578e+02	2.957e-01	 0.3040	0.6187	0.1239	0.5673	     	  78	    549
