No.	Luminance	Radiance	   x	   y	   u'	   v'	  CCT	  PE	D. Wavelength 
	[cd/sqm]	[W/(sr*sqm)]					[Kelvin]   %	    [nm] 
1   	4.239e-01	2.636e-03	 0.2943	0.3010	0.1954	0.4497	 8172	  16	    480
2   	1.045e+01	2.179e-02	 0.2937	0.5898	0.1238	0.5593	     	  67	    546
3   	2.113e+01	4.195e-02	 0.2947	0.6039	0.1221	0.5628	     	  71	    547
4   	3.203e+01	6.244e-02	 0.2955	0.6088	0.1217	0.5640	     	  73	    547
5   	4.266e+01	8.251e-02	 0.2960	0.6112	0.1215	0.5646	     	  74	    547
6   	5.272e+01	1.013e-01	 0.2967	0.6128	0.1216	0.5651	     	  74	    547
7   	6.366e+01	1.219e-01	 0.2974	0.6138	0.1217	0.5654	     	  75	    548
8   	7.388e+01	1.410e-01	 0.2979	0.6148	0.1218	0.5657	     	  75	    548
9   	8.454e+01	1.609e-01	 0.2986	0.6154	0.1220	0.5659	     	  76	    548
10  	9.467e+01	1.797e-01	 0.2993	0.6161	0.1222	0.5661	     	  76	    548
11  	1.045e+02	1.980e-01	 0.2998	0.6164	0.1224	0.5662	     	  76	    548
12  	1.142e+02	2.158e-01	 0.3006	0.6169	0.1227	0.5664	     	  77	    548
13  	1.237e+02	2.334e-01	 0.3013	0.6173	0.1229	0.5666	     	  77	    549
14  	1.346e+02	2.535e-01	 0.3021	0.6178	0.1232	0.5668	     	  77	    549
15  	1.451e+02	2.726e-01	 0.3029	0.6182	0.1235	0.5670	     	  78	    549
16  	1.583e+02	2.967e-01	 0.3041	0.6184	0.1240	0.5672	     	  78	    549
