No.	Luminance	Radiance	   x	   y	   u'	   v'	  CCT	  PE	D. Wavelength 
	[cd/sqm]	[W/(sr*sqm)]					[Kelvin]   %	    [nm] 
1   	2.319e-01	1.663e-03	 0.2743	0.2806	0.1886	0.4340	11366	  25	    479
2   	3.422e-01	2.074e-03	 0.2808	0.2879	0.1906	0.4397	10015	  22	    479
3   	1.554e+00	6.158e-03	 0.3077	0.3244	0.1960	0.4651	 6821	   9	    487
4   	4.345e+00	1.557e-02	 0.3065	0.3274	0.1941	0.4666	 6855	  10	    489
5   	1.086e+01	3.789e-02	 0.3083	0.3271	0.1954	0.4667	 6760	   9	    488
6   	1.838e+01	6.365e-02	 0.3084	0.3254	0.1962	0.4657	 6769	   9	    487
7   	2.802e+01	9.619e-02	 0.3095	0.3267	0.1965	0.4666	 6691	   9	    488
8   	4.055e+01	1.387e-01	 0.3090	0.3263	0.1963	0.4663	 6723	   9	    488
9   	5.503e+01	1.880e-01	 0.3086	0.3258	0.1962	0.4660	 6753	   9	    488
10  	7.141e+01	2.446e-01	 0.3082	0.3242	0.1965	0.4651	 6792	   9	    487
11  	9.038e+01	3.094e-01	 0.3089	0.3246	0.1968	0.4654	 6748	   9	    487
12  	1.125e+02	3.853e-01	 0.3089	0.3242	0.1970	0.4651	 6752	   9	    487
13  	1.359e+02	4.642e-01	 0.3090	0.3250	0.1968	0.4656	 6738	   9	    487
14  	1.615e+02	5.522e-01	 0.3087	0.3243	0.1968	0.4652	 6764	   9	    487
15  	1.908e+02	6.508e-01	 0.3091	0.3251	0.1968	0.4657	 6730	   9	    487
16  	2.279e+02	7.818e-01	 0.3096	0.3237	0.1977	0.4650	 6718	   9	    486
