No.	Luminance	Radiance	   x	   y	   u'	   v'	  CCT	  PE	D. Wavelength 
	[cd/sqm]	[W/(sr*sqm)]					[Kelvin]   %	    [nm] 
3   	3.847e-01	2.440e-03	 0.2896	0.2928	0.1952	0.4441	 8855	  19	    478
4   	1.663e+01	6.185e-02	 0.3083	0.3014	0.2055	0.4521	 7073	  12	    471
5   	3.325e+01	1.207e-01	 0.3093	0.3064	0.2042	0.4552	 6932	  11	    475
6   	4.914e+01	1.761e-01	 0.3092	0.3098	0.2028	0.4571	 6895	  10	    477
7   	6.455e+01	2.288e-01	 0.3088	0.3129	0.2012	0.4589	 6884	  10	    480
8   	7.939e+01	2.802e-01	 0.3086	0.3139	0.2008	0.4594	 6880	  10	    481
9   	9.477e+01	3.313e-01	 0.3083	0.3169	0.1994	0.4610	 6864	  10	    482
10  	1.094e+02	3.833e-01	 0.3084	0.3161	0.1997	0.4606	 6872	  10	    482
11  	1.245e+02	4.325e-01	 0.3090	0.3192	0.1990	0.4624	 6796	   9	    484
12  	1.381e+02	4.785e-01	 0.3084	0.3196	0.1983	0.4626	 6832	  10	    484
13  	1.524e+02	5.278e-01	 0.3080	0.3197	0.1981	0.4626	 6853	  10	    484
14  	1.661e+02	5.732e-01	 0.3083	0.3207	0.1979	0.4632	 6825	   9	    485
15  	1.793e+02	6.181e-01	 0.3079	0.3210	0.1975	0.4632	 6846	  10	    485
16  	1.939e+02	6.665e-01	 0.3080	0.3222	0.1972	0.4639	 6823	   9	    486
17  	2.092e+02	7.211e-01	 0.3081	0.3213	0.1975	0.4634	 6829	   9	    485
18  	2.279e+02	7.848e-01	 0.3092	0.3222	0.1980	0.4641	 6753	   9	    485
