No.	Luminance	Radiance	   x	   y	   u'	   v'	  CCT	  PE	D. Wavelength 
	[cd/sqm]	[W/(sr*sqm)]					[Kelvin]   %	    [nm] 
1   	3.615e-01	2.306e-03	 0.2901	0.2957	0.1944	0.4459	 8710	  18	    479
2   	3.573e-01	2.410e-03	 0.3068	0.2839	0.2118	0.4410	 7525	  15	    444
3   	6.508e-01	3.822e-03	 0.4374	0.3032	0.3036	0.4735	     	  31	    -495
4   	1.270e+00	6.807e-03	 0.5293	0.3155	0.3696	0.4958	 1391	  53	    625
5   	2.229e+00	1.150e-02	 0.5707	0.3200	0.4006	0.5054	 1217	  67	    618
6   	3.284e+00	1.672e-02	 0.5935	0.3215	0.4187	0.5102	 1126	  75	    616
7   	5.684e+00	2.856e-02	 0.6083	0.3235	0.4294	0.5139	 1084	  80	    615
8   	8.096e+00	4.041e-02	 0.6166	0.3251	0.4352	0.5162	     	  83	    614
9   	1.101e+01	5.481e-02	 0.6213	0.3256	0.4388	0.5173	     	  84	    613
10  	1.427e+01	7.094e-02	 0.6260	0.3264	0.4420	0.5186	     	  86	    613
11  	1.815e+01	9.030e-02	 0.6294	0.3269	0.4445	0.5194	     	  87	    613
12  	2.286e+01	1.137e-01	 0.6320	0.3277	0.4461	0.5203	     	  88	    613
13  	2.744e+01	1.366e-01	 0.6340	0.3284	0.4470	0.5210	     	  89	    612
14  	3.242e+01	1.617e-01	 0.6367	0.3290	0.4488	0.5218	     	  90	    612
15  	3.817e+01	1.911e-01	 0.6387	0.3294	0.4501	0.5224	     	  90	    612
16  	4.635e+01	2.332e-01	 0.6415	0.3305	0.4515	0.5234	     	  92	    611
