No.	Luminance	Radiance	   x	   y	   u'	   v'	  CCT	  PE	D. Wavelength 
	[cd/sqm]	[W/(sr*sqm)]					[Kelvin]   %	    [nm] 
1   	3.964e-01	2.545e-03	 0.2907	0.2919	0.1963	0.4436	 8794	  18	    477
2   	3.811e+00	1.928e-02	 0.5925	0.3225	0.4169	0.5106	 1135	  75	    615
3   	7.531e+00	3.759e-02	 0.6119	0.3246	0.4316	0.5151	     	  81	    614
4   	1.100e+01	5.467e-02	 0.6193	0.3258	0.4369	0.5171	     	  84	    613
5   	1.402e+01	6.960e-02	 0.6239	0.3262	0.4404	0.5181	     	  85	    613
6   	1.713e+01	8.501e-02	 0.6276	0.3270	0.4428	0.5192	     	  86	    613
7   	1.999e+01	9.924e-02	 0.6295	0.3273	0.4442	0.5197	     	  87	    613
8   	2.318e+01	1.152e-01	 0.6315	0.3279	0.4453	0.5203	     	  88	    612
9   	2.616e+01	1.301e-01	 0.6331	0.3281	0.4465	0.5207	     	  88	    612
10  	2.855e+01	1.421e-01	 0.6341	0.3285	0.4471	0.5211	     	  89	    612
11  	3.147e+01	1.568e-01	 0.6356	0.3288	0.4481	0.5215	     	  89	    612
12  	3.412e+01	1.702e-01	 0.6365	0.3291	0.4485	0.5218	     	  90	    612
13  	3.644e+01	1.821e-01	 0.6377	0.3294	0.4492	0.5222	     	  90	    612
14  	3.920e+01	1.961e-01	 0.6387	0.3298	0.4498	0.5225	     	  91	    612
15  	4.263e+01	2.137e-01	 0.6398	0.3301	0.4505	0.5229	     	  91	    612
16  	4.662e+01	2.344e-01	 0.6411	0.3304	0.4512	0.5233	     	  91	    611
