Name	amb_light
Date	19/03/2018
Time	08:48pm
Integration time [ms]	60000
Luminance[cd/sqm]	4.13E-02
Radiance[W/sr*sqm]	2.94E-04
CCT [K]	2949
DWl[nm]	581
PE[%]	63.1
x	0.451
y	0.4255
u'	0.2504
v'	0.5316
Reference Illuminant	Planckian radiator
CCT [K]	2949
R1	86.8
R2	85.4
R3	85.3
R4	96.5
R5	92.9
R6	91.4
R7	96.5
R8	88
R9	69.8
R10	68.6
R11	90.6
R12	70.3
R13	82.9
R14	90.4
Ra	90.35
	
wavelength [nm]	Radiance[W/(sr*sqm*nm)]
	
380	3.56E-07
381	1.56E-07
382	4.41E-09
383	0
384	0
385	1.10E-08
386	1.34E-07
387	3.02E-07
388	4.96E-07
389	6.81E-07
390	8.23E-07
391	8.87E-07
392	8.44E-07
393	7.00E-07
394	4.92E-07
395	2.56E-07
396	2.66E-08
397	0
398	0
399	0
400	0
401	7.28E-08
402	4.88E-07
403	9.51E-07
404	1.36E-06
405	1.60E-06
406	1.59E-06
407	1.33E-06
408	9.36E-07
409	5.12E-07
410	1.65E-07
411	0
412	0
413	0
414	5.53E-08
415	1.14E-07
416	1.27E-07
417	1.05E-07
418	6.26E-08
419	1.61E-08
420	0
421	0
422	0
423	0
424	3.54E-09
425	5.15E-08
426	1.05E-07
427	1.51E-07
428	1.79E-07
429	1.77E-07
430	1.45E-07
431	9.67E-08
432	4.55E-08
433	5.22E-09
434	0
435	0
436	0
437	1.92E-09
438	0
439	0
440	0
441	0
442	0
443	4.86E-08
444	1.30E-07
445	2.16E-07
446	2.84E-07
447	3.14E-07
448	2.99E-07
449	2.58E-07
450	2.16E-07
451	1.95E-07
452	2.18E-07
453	2.74E-07
454	3.36E-07
455	3.77E-07
456	3.70E-07
457	3.05E-07
458	2.04E-07
459	9.84E-08
460	1.68E-08
461	0
462	0
463	2.89E-08
464	5.26E-08
465	4.32E-08
466	0
467	0
468	0
469	0
470	1.35E-07
471	3.66E-07
472	6.00E-07
473	7.67E-07
474	7.98E-07
475	6.74E-07
476	4.57E-07
477	2.15E-07
478	1.84E-08
479	0
480	0
481	0
482	0
483	2.34E-08
484	1.73E-08
485	3.73E-09
486	7.58E-09
487	5.37E-08
488	1.53E-07
489	2.74E-07
490	3.74E-07
491	4.13E-07
492	3.55E-07
493	2.24E-07
494	8.33E-08
495	0
496	2.68E-08
497	1.89E-07
498	4.16E-07
499	6.34E-07
500	7.67E-07
501	7.56E-07
502	6.32E-07
503	4.48E-07
504	2.60E-07
505	1.16E-07
506	3.14E-08
507	0
508	0
509	7.82E-09
510	3.21E-08
511	4.90E-08
512	4.41E-08
513	3.36E-09
514	0
515	0
516	0
517	0
518	1.99E-07
519	5.67E-07
520	9.20E-07
521	1.14E-06
522	1.11E-06
523	8.22E-07
524	4.36E-07
525	1.11E-07
526	6.04E-09
527	2.03E-07
528	5.71E-07
529	9.45E-07
530	1.16E-06
531	1.09E-06
532	7.92E-07
533	4.11E-07
534	7.96E-08
535	0
536	0
537	1.07E-07
538	3.20E-07
539	5.28E-07
540	6.98E-07
541	8.29E-07
542	9.19E-07
543	9.70E-07
544	9.81E-07
545	9.57E-07
546	9.01E-07
547	8.17E-07
548	7.09E-07
549	5.81E-07
550	4.39E-07
551	2.87E-07
552	1.34E-07
553	1.69E-08
554	0
555	6.34E-08
556	3.06E-07
557	6.47E-07
558	9.74E-07
559	1.17E-06
560	1.14E-06
561	8.84E-07
562	5.18E-07
563	1.53E-07
564	0
565	0
566	0
567	1.16E-07
568	5.01E-07
569	9.77E-07
570	1.41E-06
571	1.65E-06
572	1.57E-06
573	1.15E-06
574	5.96E-07
575	1.41E-07
576	1.20E-08
577	2.93E-07
578	7.75E-07
579	1.21E-06
580	1.36E-06
581	1.10E-06
582	6.30E-07
583	1.84E-07
584	1.14E-09
585	2.13E-07
586	6.54E-07
587	1.11E-06
588	1.36E-06
589	1.28E-06
590	9.47E-07
591	5.18E-07
592	1.30E-07
593	0
594	0
595	0
596	2.44E-08
597	2.86E-07
598	5.78E-07
599	8.33E-07
600	9.85E-07
601	9.89E-07
602	8.82E-07
603	7.14E-07
604	5.31E-07
605	3.75E-07
606	2.71E-07
607	2.40E-07
608	3.05E-07
609	4.68E-07
610	6.94E-07
611	9.40E-07
612	1.17E-06
613	1.33E-06
614	1.41E-06
615	1.36E-06
616	1.16E-06
617	8.40E-07
618	5.37E-07
619	3.82E-07
620	5.00E-07
621	8.66E-07
622	1.30E-06
623	1.63E-06
624	1.68E-06
625	1.47E-06
626	1.15E-06
627	8.67E-07
628	7.63E-07
629	8.24E-07
630	9.62E-07
631	1.09E-06
