Name	0	17	34	51	68	85	102	119	136	153	170	187	204	221	238	255
Date	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018
Time	07:29pm	07:31pm	07:34pm	07:36pm	07:38pm	07:40pm	07:43pm	07:45pm	07:46pm	07:48pm	07:50pm	07:51pm	07:53pm	07:53pm	07:53pm	07:54pm
Integration time [ms]	60000	60000	60000	60000	60000	36090	26035	19403	14793	11798	8571	6467	5545	5357	4545	3299
Luminance[cd/sqm]	3.56E-01	4.66E-01	1.46E+00	3.76E+00	7.16E+00	1.26E+01	1.93E+01	2.77E+01	3.80E+01	4.89E+01	6.25E+01	7.78E+01	9.42E+01	1.12E+02	1.32E+02	1.58E+02
Radiance[W/sr*sqm]	2.38E-03	2.63E-03	4.51E-03	8.86E-03	1.53E-02	2.57E-02	3.83E-02	5.43E-02	7.36E-02	9.42E-02	1.20E-01	1.48E-01	1.79E-01	2.11E-01	2.49E-01	2.96E-01
CCT [K]	8627	7890	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DWl[nm]	476	491	536	543	546	546	547	547	547	547	548	548	548	548	549	549
PE[%]	17.8	15.3	33.8	55.8	64.9	68.6	71	72.5	73.5	74.3	75	75.7	76.2	76.8	77.4	78.3
x	0.2925	0.2889	0.2875	0.2895	0.2929	0.2932	0.2939	0.2949	0.2956	0.2963	0.2973	0.2981	0.299	0.3003	0.3018	0.304
y	0.2915	0.3298	0.4835	0.5568	0.5842	0.5963	0.6036	0.6078	0.6108	0.6127	0.6139	0.6157	0.6166	0.6171	0.6177	0.6187
u'	0.1979	0.1812	0.1398	0.1272	0.1243	0.1226	0.1218	0.1216	0.1214	0.1214	0.1217	0.1218	0.122	0.1225	0.1231	0.1239
v'	0.4437	0.4652	0.5289	0.5505	0.5579	0.5608	0.5626	0.5637	0.5645	0.565	0.5654	0.5659	0.5662	0.5665	0.5668	0.5673
