Name	0	17	34	51	68	85	102	119	136	153	170	187	204	221	238	255
Date	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018
Time	07:57pm	07:59pm	08:02pm	08:04pm	08:06pm	08:08pm	08:10pm	08:11pm	08:13pm	08:15pm	08:15pm	08:15pm	08:16pm	08:16pm	08:16pm	08:16pm
Integration time [ms]	60000	60000	60000	60000	31744	20986	14724	8571	6593	5317	4016	3208	2683	2235	1899	1875
Luminance[cd/sqm]	3.63E-01	3.63E-01	4.47E-01	6.50E-01	1.05E+00	1.52E+00	2.13E+00	2.95E+00	3.90E+00	4.99E+00	6.30E+00	7.79E+00	9.45E+00	1.14E+01	1.36E+01	1.69E+01
Radiance[W/sr*sqm]	2.40E-03	2.52E-03	3.82E-03	7.01E-03	1.28E-02	2.01E-02	2.94E-02	4.16E-02	5.59E-02	7.24E-02	9.12E-02	1.13E-01	1.37E-01	1.64E-01	1.93E-01	2.35E-01
CCT [K]	8650	16796	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DWl[nm]	480	474	464	463	462	462	462	462	462	462	462	462	462	462	463	463
PE[%]	17.9	30.2	62	81	86.6	89.6	90.9	91.6	92.2	92.6	92.6	92.8	92.8	92.9	92.7	92.6
x	0.2901	0.2668	0.2112	0.1763	0.166	0.1606	0.1583	0.157	0.1556	0.1549	0.1548	0.1542	0.1539	0.1536	0.1537	0.1533
y	0.2973	0.2565	0.1506	0.0919	0.0742	0.0651	0.0607	0.0587	0.0569	0.0561	0.0559	0.0555	0.0558	0.056	0.0566	0.058
u'	0.1938	0.1925	0.1926	0.188	0.1866	0.1857	0.1855	0.1852	0.1847	0.1843	0.1842	0.1837	0.1831	0.1826	0.1823	0.1809
v'	0.4469	0.4163	0.3092	0.2205	0.1876	0.1693	0.1601	0.1559	0.1518	0.1501	0.1496	0.1487	0.1494	0.1498	0.1512	0.154
Reference Illuminant	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K
CCT [K]	8650	16796	16796	16796	16796	16796	16796	16796	16796	16796	16796	16796	16796	16796	16796	16796
R1	98.3	91.7	91.7	91.7	91.7	91.7	91.7	91.7	91.7	91.7	91.7	91.7	91.7	91.7	91.7	91.7
R2	88	88.8	88.8	88.8	88.8	88.8	88.8	88.8	88.8	88.8	88.8	88.8	88.8	88.8	88.8	88.8
