Name	0	17	34	51	68	85	102	119	136	153	170	187	204	221	238	255
Date	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018
Time	09:27pm	09:31pm	09:33pm	09:34pm	09:34pm	09:34pm	09:35pm	09:35pm	09:35pm	09:36pm	09:36pm	09:36pm	09:36pm	09:37pm	09:37pm	09:37pm
Integration time [ms]	60000	20168	8571	6706	6224	4291	3644	3160	2828	2553	2307	2128	2347	2209	2024	1861
Luminance[cd/sqm]	4.19E-01	1.64E+00	2.80E+00	3.88E+00	4.88E+00	5.91E+00	6.94E+00	8.03E+00	8.95E+00	9.91E+00	1.11E+01	1.21E+01	1.31E+01	1.42E+01	1.56E+01	1.71E+01
Radiance[W/sr*sqm]	2.59E-03	2.11E-02	3.87E-02	5.49E-02	6.98E-02	8.53E-02	1.00E-01	1.16E-01	1.29E-01	1.43E-01	1.59E-01	1.72E-01	1.86E-01	2.00E-01	2.18E-01	2.37E-01
CCT [K]	8060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DWl[nm]	481	462	462	462	462	462	462	462	462	462	462	462	463	463	463	463
PE[%]	15.7	89.1	91.2	91.9	92.3	92.5	92.6	92.7	92.7	92.8	92.7	92.7	92.7	92.6	92.5	92.5
x	0.2947	0.1614	0.1577	0.1563	0.1554	0.1551	0.1547	0.1543	0.1543	0.154	0.154	0.154	0.1537	0.1538	0.1537	0.1535
y	0.3037	0.0666	0.06	0.0578	0.0568	0.0562	0.0561	0.0559	0.0559	0.0558	0.0562	0.0566	0.0568	0.0572	0.0577	0.0583
u'	0.1947	0.1857	0.1853	0.1849	0.1844	0.1844	0.184	0.1836	0.1835	0.1832	0.183	0.1827	0.1822	0.182	0.1816	0.181
v'	0.4514	0.1724	0.1587	0.1539	0.1517	0.1503	0.15	0.1497	0.1497	0.1495	0.1503	0.151	0.1515	0.1524	0.1535	0.1547
Reference Illuminant	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K
CCT [K]	8060	8060	8060	8060	8060	8060	8060	8060	8060	8060	8060	8060	8060	8060	8060	8060
R1	95.5	95.5	95.5	95.5	95.5	95.5	95.5	95.5	95.5	95.5	95.5	95.5	95.5	95.5	95.5	95.5
R2	85.1	85.1	85.1	85.1	85.1	85.1	85.1	85.1	85.1	85.1	85.1	85.1	85.1	85.1	85.1	85.1
R3	70.7	70.7	70.7	70.7	70.7	70.7	70.7	70.7	70.7	70.7	70.7	70.7	70.7	70.7	70.7	70.7
R4	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2	83.2
R5	91.7	91.7	91.7	91.7	91.7	91.7	91.7	91.7	91.7	91.7	91.7	91.7	91.7	91.7	91.7	91.7
R6	77.9	77.9	77.9	77.9	77.9	77.9	77.9	77.9	77.9	77.9	77.9	77.9	77.9	77.9	77.9	77.9
R7	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4	84.4
R8	89.5	89.5	89.5	89.5	89.5	89.5	89.5	89.5	89.5	89.5	89.5	89.5	89.5	89.5	89.5	89.5
R9	83.6	83.6	83.6	83.6	83.6	83.6	83.6	83.6	83.6	83.6	83.6	83.6	83.6	83.6	83.6	83.6
R10	59.1	59.1	59.1	59.1	59.1	59.1	59.1	59.1	59.1	59.1	59.1	59.1	59.1	59.1	59.1	59.1
R11	82.4	82.4	82.4	82.4	82.4	82.4	82.4	82.4	82.4	82.4	82.4	82.4	82.4	82.4	82.4	82.4
R12	52.5	52.5	52.5	52.5	52.5	52.5	52.5	52.5	52.5	52.5	52.5	52.5	52.5	52.5	52.5	52.5
R13	92.2	92.2	92.2	92.2	92.2	92.2	92.2	92.2	92.2	92.2	92.2	92.2	92.2	92.2	92.2	92.2
R14	83.1	83.1	83.1	83.1	83.1	83.1	83.1	83.1	83.1	83.1	83.1	83.1	83.1	83.1	83.1	83.1
Ra	84.75	84.75	84.75	84.75	84.75	84.75	84.75	84.75	84.75	84.75	84.75	84.75	84.75	84.75	84.75	84.75
																
wavelength [nm]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]
																
380	9.61807E-07	1.46126E-07	2.58482E-07	3.10164E-06	0	4.88994E-07	7.88432E-07	4.1058E-06	4.17176E-06	2.04378E-06	2.64477E-06	4.27927E-06	3.56454E-06	2.97764E-07	1.91889E-06	2.62337E-06
381	1.29983E-06	1.47712E-07	3.06396E-07	3.77723E-06	0	7.7914E-07	4.09098E-07	4.75956E-06	4.16495E-06	2.83267E-06	3.57088E-06	5.01752E-06	1.48133E-06	2.36015E-07	2.70311E-06	4.07722E-06
382	1.52426E-06	1.37897E-07	3.23915E-07	3.9363E-06	1.2046E-08	9.68549E-07	4.46296E-08	5.26421E-06	3.93358E-06	3.25934E-06	4.20404E-06	5.22233E-06	7.61397E-08	6.71052E-08	3.4171E-06	5.20573E-06
383	1.59288E-06	1.23434E-07	3.07916E-07	3.46068E-06	6.44281E-07	9.8638E-07	0	5.55403E-06	3.47412E-06	3.17901E-06	4.43901E-06	4.63885E-06	0	0	3.99541E-06	5.74862E-06
384	1.5293E-06	1.0375E-07	2.61567E-07	2.55954E-06	1.35676E-06	8.53026E-07	0	5.7083E-06	2.89884E-06	2.74848E-06	4.37502E-06	3.49724E-06	1.17149E-08	0	4.39351E-06	5.75747E-06
385	1.37075E-06	7.66037E-08	1.89276E-07	1.50347E-06	2.02933E-06	6.08676E-07	0	5.83444E-06	2.33907E-06	2.1837E-06	4.15188E-06	2.12438E-06	8.49471E-07	0	4.57487E-06	5.35275E-06
386	1.16571E-06	4.04752E-08	9.62531E-08	5.44609E-07	2.58564E-06	2.93454E-07	0	6.10671E-06	1.93822E-06	1.70182E-06	3.94604E-06	8.26954E-07	1.91554E-06	0	4.56384E-06	4.7029E-06
387	9.23524E-07	0	0	0	2.90097E-06	0	2.10914E-07	6.54288E-06	1.77404E-06	1.45115E-06	3.81698E-06	0	2.9616E-06	2.64685E-07	4.26339E-06	3.824E-06
388	6.70274E-07	0	0	0	2.92628E-06	0	1.02663E-06	7.12411E-06	1.86762E-06	1.50593E-06	3.8214E-06	0	3.83322E-06	1.26141E-06	3.68864E-06	2.84192E-06
389	4.27345E-07	0	0	0	2.71186E-06	0	1.93718E-06	7.63726E-06	2.0762E-06	1.7515E-06	3.91362E-06	0	4.53382E-06	2.41786E-06	2.95098E-06	1.94751E-06
390	2.14845E-07	1.82238E-08	0	1.54958E-07	2.31627E-06	0	2.73773E-06	7.85738E-06	2.24568E-06	2.05823E-06	4.03925E-06	0	5.08284E-06	3.48094E-06	2.16743E-06	1.33115E-06
391	5.20529E-08	2.22334E-07	0	7.66833E-07	1.79578E-06	0	3.2322E-06	7.56947E-06	2.2285E-06	2.30203E-06	4.14651E-06	1.96134E-07	5.49934E-06	4.20839E-06	1.4503E-06	1.17542E-06
392	0	5.85496E-07	1.97029E-07	1.51773E-06	1.20571E-06	9.07393E-07	3.24752E-06	6.58461E-06	1.89377E-06	2.37262E-06	4.18667E-06	1.131E-06	5.79832E-06	4.38264E-06	9.05158E-07	1.64091E-06
393	0	1.0583E-06	6.11974E-07	2.29784E-06	6.28435E-07	2.28321E-06	2.87697E-06	5.03462E-06	1.30024E-06	2.31596E-06	4.1404E-06	2.2703E-06	5.95403E-06	4.05283E-06	6.03889E-07	2.64199E-06
394	0	1.5257E-06	1.0772E-06	2.96846E-06	1.67E-07	3.75477E-06	2.42358E-06	3.30339E-06	6.56047E-07	2.30101E-06	4.01148E-06	3.50301E-06	5.90841E-06	3.47841E-06	5.91047E-07	3.89887E-06
395	0	1.87517E-06	1.51425E-06	3.39532E-06	0	5.03268E-06	2.18485E-06	1.76739E-06	1.65655E-07	2.49384E-06	3.80418E-06	4.72157E-06	5.60469E-06	2.91499E-06	9.0869E-07	5.13684E-06
396	0	1.9997E-06	1.84878E-06	3.45135E-06	0	5.84216E-06	2.44802E-06	7.88833E-07	2.55619E-08	3.05575E-06	3.52463E-06	5.82589E-06	4.99109E-06	2.60963E-06	1.59813E-06	6.09536E-06
397	2.05581E-08	1.82184E-06	2.01775E-06	3.05364E-06	4.26242E-07	5.97248E-06	3.40101E-06	6.43432E-07	3.82601E-07	4.08528E-06	3.19562E-06	6.73057E-06	4.05172E-06	2.75937E-06	2.68076E-06	6.57402E-06
398	3.86429E-08	1.42441E-06	2.01891E-06	2.36883E-06	1.13384E-06	5.55921E-06	4.73906E-06	1.19649E-06	1.13978E-06	5.37318E-06	2.96078E-06	7.4468E-06	3.00215E-06	3.34348E-06	4.07761E-06	6.69889E-06
399	6.89489E-08	9.41996E-07	1.87036E-06	1.64312E-06	1.94845E-06	4.85057E-06	5.99818E-06	2.1777E-06	2.1202E-06	6.61106E-06	3.00029E-06	8.01734E-06	2.12972E-06	4.26778E-06	5.67764E-06	6.70219E-06
400	1.26943E-07	5.04429E-07	1.58954E-06	1.11403E-06	2.71487E-06	4.08609E-06	6.73073E-06	3.3262E-06	3.15313E-06	7.50136E-06	3.48799E-06	8.48348E-06	1.71164E-06	5.44135E-06	7.37373E-06	6.80804E-06
401	2.28196E-07	2.37412E-07	1.19729E-06	1.01325E-06	3.29406E-06	3.50752E-06	6.52702E-06	4.40462E-06	4.08722E-06	7.78252E-06	4.60525E-06	8.91291E-06	2.02093E-06	6.79773E-06	9.09111E-06	7.2551E-06
402	3.7499E-07	2.03537E-07	7.46326E-07	1.43596E-06	3.6038E-06	3.25918E-06	5.26388E-06	5.25163E-06	4.85212E-06	7.34916E-06	6.37223E-06	9.30179E-06	3.17731E-06	8.22963E-06	1.07232E-05	8.18294E-06
403	5.43287E-07	3.43486E-07	3.86783E-07	2.21052E-06	3.72238E-06	3.3552E-06	3.53334E-06	5.9107E-06	5.59418E-06	6.54769E-06	8.52096E-06	9.63636E-06	5.00485E-06	9.62421E-06	1.22097E-05	9.63753E-06
404	7.06147E-07	5.83248E-07	2.77473E-07	3.13405E-06	3.74613E-06	3.79098E-06	2.00426E-06	6.44957E-06	6.48355E-06	5.77241E-06	1.07509E-05	9.89861E-06	7.29272E-06	1.08684E-05	1.34946E-05	1.16494E-05
405	8.3723E-07	8.50461E-07	5.73673E-07	4.00824E-06	3.76926E-06	4.56203E-06	1.3306E-06	6.93446E-06	7.68662E-06	5.40887E-06	1.27682E-05	1.00709E-05	9.83477E-06	1.18517E-05	1.45235E-05	1.42483E-05
406	9.12559E-07	1.07876E-06	1.41759E-06	4.6504E-06	3.88595E-06	5.66327E-06	2.11824E-06	7.43518E-06	9.36164E-06	5.82366E-06	1.43075E-05	1.01523E-05	1.24408E-05	1.24883E-05	1.52634E-05	1.74627E-05
407	9.35897E-07	1.27726E-06	2.76579E-06	5.06082E-06	4.20391E-06	7.04657E-06	4.33753E-06	8.06965E-06	1.15312E-05	7.15381E-06	1.54308E-05	1.03792E-05	1.50635E-05	1.30297E-05	1.59674E-05	2.12115E-05
408	9.35262E-07	1.51994E-06	4.41687E-06	5.39857E-06	4.84505E-06	8.63028E-06	7.41804E-06	9.00173E-06	1.41077E-05	9.34436E-06	1.64876E-05	1.11977E-05	1.77841E-05	1.40231E-05	1.71427E-05	2.53299E-05
409	9.389E-07	1.88144E-06	6.16827E-06	5.82472E-06	5.92923E-06	1.03332E-05	1.07829E-05	1.03934E-05	1.70015E-05	1.23351E-05	1.78301E-05	1.30515E-05	2.06865E-05	1.60146E-05	1.92942E-05	2.96537E-05
