Name	0	17	34	51	68	85	102	119	136	153	170	187	204	221	238	255
Date	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018
Time	09:11pm	09:13pm	09:15pm	09:17pm	09:19pm	09:20pm	09:20pm	09:21pm	09:21pm	09:21pm	09:22pm	09:22pm	09:23pm	09:23pm	09:23pm	09:23pm
Integration time [ms]	60000	41419	24263	17127	13334	11029	9316	6694	7009	5248	5725	5208	4823	3738	3475	3787
Luminance[cd/sqm]	4.24E-01	1.05E+01	2.11E+01	3.20E+01	4.27E+01	5.27E+01	6.37E+01	7.39E+01	8.45E+01	9.47E+01	1.05E+02	1.14E+02	1.24E+02	1.35E+02	1.45E+02	1.58E+02
Radiance[W/sr*sqm]	2.64E-03	2.18E-02	4.20E-02	6.24E-02	8.25E-02	1.01E-01	1.22E-01	1.41E-01	1.61E-01	1.80E-01	1.98E-01	2.16E-01	2.33E-01	2.54E-01	2.73E-01	2.97E-01
CCT [K]	8172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DWl[nm]	480	546	547	547	547	547	548	548	548	548	548	548	549	549	549	549
PE[%]	16.1	66.7	71.2	72.9	73.8	74.5	74.9	75.4	75.8	76.1	76.4	76.8	77.1	77.5	77.8	78.2
x	0.2943	0.2937	0.2947	0.2955	0.296	0.2967	0.2974	0.2979	0.2986	0.2993	0.2998	0.3006	0.3013	0.3021	0.3029	0.3041
y	0.301	0.5898	0.6039	0.6088	0.6112	0.6128	0.6138	0.6148	0.6154	0.6161	0.6164	0.6169	0.6173	0.6178	0.6182	0.6184
u'	0.1954	0.1238	0.1221	0.1217	0.1215	0.1216	0.1217	0.1218	0.122	0.1222	0.1224	0.1227	0.1229	0.1232	0.1235	0.124
v'	0.4497	0.5593	0.5628	0.564	0.5646	0.5651	0.5654	0.5657	0.5659	0.5661	0.5662	0.5664	0.5666	0.5668	0.567	0.5672
Reference Illuminant	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K	daylight >7000K
CCT [K]	8172	8172	8172	8172	8172	8172	8172	8172	8172	8172	8172	8172	8172	8172	8172	8172
R1	99.3	99.3	99.3	99.3	99.3	99.3	99.3	99.3	99.3	99.3	99.3	99.3	99.3	99.3	99.3	99.3
R2	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88
R3	71.5	71.5	71.5	71.5	71.5	71.5	71.5	71.5	71.5	71.5	71.5	71.5	71.5	71.5	71.5	71.5
R4	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85
R5	94.9	94.9	94.9	94.9	94.9	94.9	94.9	94.9	94.9	94.9	94.9	94.9	94.9	94.9	94.9	94.9
