Name	0	17	34	51	68	85	102	119	136	153	170	187	204	221	238	255
Date	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018
Time	08:33pm	08:36pm	08:37pm	08:39pm	08:40pm	08:42pm	08:42pm	08:42pm	08:43pm	08:43pm	08:43pm	08:44pm	08:44pm	08:44pm	08:44pm	08:44pm
Integration time [ms]	60000	19049	8571	6313	5126	4320	3395	2931	2628	2851	2158	1990	2192	2074	1910	1760
Luminance[cd/sqm]	3.85E-01	1.66E+01	3.33E+01	4.91E+01	6.46E+01	7.94E+01	9.48E+01	1.09E+02	1.25E+02	1.38E+02	1.52E+02	1.66E+02	1.79E+02	1.94E+02	2.09E+02	2.28E+02
Radiance[W/sr*sqm]	2.44E-03	6.19E-02	1.21E-01	1.76E-01	2.29E-01	2.80E-01	3.31E-01	3.83E-01	4.33E-01	4.79E-01	5.28E-01	5.73E-01	6.18E-01	6.67E-01	7.21E-01	7.85E-01
CCT [K]	8855	7073	6932	6895	6884	6880	6864	6872	6796	6832	6853	6825	6846	6823	6829	6753
DWl[nm]	478	471	475	477	480	481	482	482	484	484	484	485	485	486	485	485
PE[%]	18.6	11.8	10.8	10.4	10.2	10.1	9.9	9.9	9.4	9.6	9.7	9.5	9.6	9.4	9.5	9
x	0.2896	0.3083	0.3093	0.3092	0.3088	0.3086	0.3083	0.3084	0.309	0.3084	0.308	0.3083	0.3079	0.308	0.3081	0.3092
y	0.2928	0.3014	0.3064	0.3098	0.3129	0.3139	0.3169	0.3161	0.3192	0.3196	0.3197	0.3207	0.321	0.3222	0.3213	0.3222
u'	0.1952	0.2055	0.2042	0.2028	0.2012	0.2008	0.1994	0.1997	0.199	0.1983	0.1981	0.1979	0.1975	0.1972	0.1975	0.198
v'	0.4441	0.4521	0.4552	0.4571	0.4589	0.4594	0.461	0.4606	0.4624	0.4626	0.4626	0.4632	0.4632	0.4639	0.4634	0.4641
Reference Illuminant	daylight >7000K	daylight >7000K	daylight 5000-7000K	daylight 5000-7000K	daylight 5000-7000K	daylight 5000-7000K	daylight 5000-7000K	daylight 5000-7000K	daylight 5000-7000K	daylight 5000-7000K	daylight 5000-7000K	daylight 5000-7000K	daylight 5000-7000K	daylight 5000-7000K	daylight 5000-7000K	daylight 5000-7000K
CCT [K]	8855	7073	6932	6895	6884	6880	6864	6872	6796	6832	6853	6825	6846	6823	6829	6753
R1	96.9	87.6	90.5	92.9	95.4	96.3	98.5	98.1	99.4	99.1	98.8	98.1	97.6	96.9	97.3	97.4
R2	89.8	93.5	92.7	91.8	90.8	90.4	89.3	89.5	88.9	88.4	88.2	87.9	87.6	87.3	87.5	87.6
R3	72.3	71.3	71.8	72.1	72.4	72.5	72.8	72.7	73	73.1	73.1	73.2	73.2	73.4	73.3	73.4
R4	83.5	76.3	78.1	79.6	80.9	81.4	82.3	82.2	82.9	83.2	83.3	83.5	83.7	83.9	83.9	84
R5	98.1	93.2	95.5	97.1	97.8	97.6	96.2	96.6	95.4	94.7	94.4	93.9	93.5	92.8	93.2	93.2
R6	82.8	87.7	86.9	86.1	85	84.6	83.5	83.7	83	82.5	82.2	81.9	81.6	81.2	81.3	81.4
R7	85.8	84.8	85	85.1	85.3	85.3	85.4	85.4	85.5	85.6	85.6	85.6	85.7	85.7	85.7	85.8
R8	87.2	83	85.3	86.8	88.3	88.7	89.6	89.5	90	90.1	90.2	90.3	90.3	90.3	90.4	90.4
R9	84.6	71.7	80.6	87.1	94.1	96.2	96	97.3	93	90.7	89.8	87.9	86.5	84.5	86.1	86.1
R10	69.4	78.6	76.1	74	71.6	70.8	68.6	69	67.6	66.7	66.2	65.6	65.1	64.4	64.8	64.9
R11	82.3	73.7	75.9	77.7	79.3	79.9	81	80.9	81.6	82	82.1	82.3	82.5	82.7	82.8	82.9
R12	59.8	69.2	67.5	65.8	64	63.3	61.6	61.9	60.8	60.1	59.7	59.2	58.7	58.2	58.4	58.4
R13	98.8	91.5	94.3	96.5	98.7	99.2	97.9	98.2	96.8	96	95.6	95	94.5	93.8	94.3	94.3
R14	83.8	82.1	82.5	82.9	83.2	83.3	83.6	83.5	83.8	83.9	83.9	84	84.1	84.2	84.1	84.2
Ra	87.03	84.67	85.72	86.44	86.98	87.1	87.22	87.2	87.26	87.08	86.95	86.8	86.65	86.43	86.59	86.64
																
wavelength [nm]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]
																
380	3.21275E-07	8.58996E-07	1.84351E-06	5.88243E-07	2.50218E-06	0	0	8.67674E-07	0	1.75844E-06	5.49722E-06	0	2.52307E-06	3.40271E-06	0	8.48069E-06
381	1.35676E-07	3.79326E-07	2.20104E-06	6.81672E-07	2.89481E-06	2.73269E-08	0	3.43807E-07	0	2.44752E-06	7.13461E-06	1.39717E-07	1.12509E-06	4.35789E-06	0	9.1659E-06
382	3.96368E-09	1.24107E-08	2.2696E-06	8.74785E-07	3.24365E-06	3.29092E-08	2.69241E-08	4.97454E-08	4.35835E-08	2.91572E-06	7.7213E-06	6.8909E-07	7.73668E-08	4.68677E-06	6.19709E-08	8.69831E-06
383	0	0	1.988E-06	1.18042E-06	3.53619E-06	0	8.72783E-07	8.99551E-08	5.99011E-07	3.07175E-06	6.95724E-06	1.01718E-06	0	4.22272E-06	6.95368E-07	6.88111E-06
384	0	0	1.4719E-06	1.51279E-06	3.71541E-06	0	1.80687E-06	4.14383E-07	1.2049E-06	3.0267E-06	5.25455E-06	1.09109E-06	0	3.20556E-06	1.37053E-06	4.36218E-06
385	2.19122E-08	0	8.69905E-07	1.76922E-06	3.71799E-06	0	2.67867E-06	9.40542E-07	1.76255E-06	2.93095E-06	3.16208E-06	9.19098E-07	8.63749E-08	1.95279E-06	1.97925E-06	1.94034E-06
386	6.76999E-08	2.64568E-07	3.20796E-07	1.8803E-06	3.53094E-06	0	3.39448E-06	1.61398E-06	2.21029E-06	2.95807E-06	1.19236E-06	5.15184E-07	6.76534E-07	7.61834E-07	2.45434E-06	3.44032E-07
387	8.45469E-08	6.41628E-07	0	1.73402E-06	3.04455E-06	1.24005E-07	3.79623E-06	2.36376E-06	2.44444E-06	3.19818E-06	0	0	1.32879E-06	0	2.68086E-06	2.18848E-07
388	6.23686E-08	1.07544E-06	0	1.33674E-06	2.29208E-06	5.87781E-07	3.8251E-06	3.1086E-06	2.4768E-06	3.7045E-06	0	0	1.94433E-06	0	2.66037E-06	1.7516E-06
389	2.29402E-08	1.47677E-06	0	8.67004E-07	1.47284E-06	1.12602E-06	3.55221E-06	3.73678E-06	2.49362E-06	4.39889E-06	0	0	2.48449E-06	0	2.56641E-06	4.23671E-06
390	0	1.75531E-06	0	5.14247E-07	7.95608E-07	1.60778E-06	3.05924E-06	4.13769E-06	2.69195E-06	5.19279E-06	0	0	2.91823E-06	0	2.58359E-06	6.90401E-06
391	0	1.82467E-06	0	4.60088E-07	4.60552E-07	1.90771E-06	2.42474E-06	4.20563E-06	3.26098E-06	6.00179E-06	0	0	3.21604E-06	0	2.88911E-06	9.01603E-06
392	3.66438E-08	1.60926E-06	5.96848E-08	8.64747E-07	6.45772E-07	1.9142E-06	1.72733E-06	3.84949E-06	4.3652E-06	6.74443E-06	3.84903E-07	1.3574E-06	3.35399E-06	3.54513E-07	3.63788E-06	9.90166E-06
393	1.28155E-07	1.16405E-06	1.00817E-07	1.64928E-06	1.29167E-06	1.66952E-06	1.10736E-06	3.16579E-06	5.88637E-06	7.34867E-06	9.61793E-07	4.22337E-06	3.39094E-06	9.78285E-07	4.73444E-06	9.54377E-06
394	2.32593E-07	6.46726E-07	1.01342E-07	2.54619E-06	2.15106E-06	1.33712E-06	7.52774E-07	2.39847E-06	7.4834E-06	7.75015E-06	1.57663E-06	7.18E-06	3.45062E-06	1.7922E-06	5.88583E-06	8.44191E-06
395	3.20354E-07	2.11898E-07	7.12748E-08	3.29276E-06	2.98081E-06	1.07774E-06	8.4568E-07	1.78636E-06	8.82181E-06	7.88718E-06	2.27219E-06	9.47965E-06	3.6539E-06	2.86109E-06	6.80463E-06	7.09143E-06
396	3.63197E-07	8.13956E-09	2.02483E-08	3.63859E-06	3.54927E-06	1.0464E-06	1.56196E-06	1.55989E-06	9.58555E-06	7.70482E-06	3.0913E-06	1.04097E-05	4.11922E-06	4.24965E-06	7.21867E-06	5.9717E-06
397	3.39774E-07	1.44516E-07	0	3.39968E-06	3.67742E-06	1.36529E-06	2.99596E-06	1.88044E-06	9.53351E-06	7.18021E-06	4.06052E-06	9.46853E-06	4.92662E-06	5.98277E-06	6.93182E-06	5.46979E-06
398	2.64741E-07	5.35637E-07	0	2.74361E-06	3.46111E-06	2.00636E-06	4.81924E-06	2.57445E-06	8.85055E-06	6.5159E-06	5.13745E-06	7.27945E-06	5.98547E-06	7.89113E-06	6.17391E-06	5.5888E-06
399	1.6448E-07	1.03253E-06	1.08434E-08	1.95194E-06	3.08606E-06	2.89136E-06	6.56854E-06	3.35919E-06	7.8592E-06	5.98405E-06	6.25712E-06	4.82872E-06	7.1491E-06	9.74368E-06	5.31165E-06	6.20092E-06
400	6.44474E-08	1.49145E-06	2.19289E-07	1.29633E-06	2.73148E-06	3.94481E-06	7.79691E-06	3.96186E-06	6.87063E-06	5.84726E-06	7.35688E-06	3.06788E-06	8.27602E-06	1.13175E-05	4.69885E-06	7.18274E-06
401	0	1.77966E-06	6.17773E-07	1.04149E-06	2.57802E-06	5.10988E-06	8.10021E-06	4.13325E-06	6.20397E-06	6.37801E-06	8.40287E-06	2.92141E-06	9.25915E-06	1.24373E-05	4.69083E-06	8.44195E-06
402	0	1.82408E-06	1.20131E-06	1.3185E-06	2.72364E-06	6.30686E-06	7.33649E-06	3.79291E-06	6.01979E-06	7.64923E-06	9.36543E-06	4.77612E-06	1.00136E-05	1.30075E-05	5.46664E-06	9.89574E-06
403	0	1.69901E-06	1.84967E-06	2.00272E-06	3.14106E-06	7.46565E-06	6.04358E-06	3.27919E-06	6.26658E-06	9.40835E-06	1.03416E-05	7.94583E-06	1.06331E-05	1.32838E-05	6.91596E-06	1.15901E-05
