Name	red225	green64
Date	19/03/2018	19/03/2018
Time	08:25pm	08:34pm
Integration time [ms]	5006	13265
Luminance[cd/sqm]	4.38E+01	4.35E+01
Radiance[W/sr*sqm]	2.19E-01	8.50E-02
CCT [K]	0	0
DWl[nm]	612	547
PE[%]	89.7	71.7
x	0.6357	0.2965
y	0.3301	0.6038
u'	0.4469	0.1229
v'	0.5221	0.563
Reference Illuminant	daylight 5000-7000K	daylight 5000-7000K
CCT [K]	6703	6703
R1	98.7	98.7
R2	88.9	88.9
R3	72.3	72.3
R4	81.6	81.6
R5	95.8	95.8
R6	83.1	83.1
R7	84.7	84.7
R8	89.1	89.1
R9	95.4	95.4
R10	67.7	67.7
R11	80.6	80.6
R12	62	62
R13	97.5	97.5
R14	83.3	83.3
Ra	86.79	86.79
		
wavelength [nm]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]
		
380	3.44E-07	4.72E-08
381	1.73E-07	4.05E-08
382	3.01E-08	1.13E-08
383	0	0
384	0	0
385	0	0
386	2.07E-07	0
387	6.45E-07	5.24E-08
388	1.26E-06	2.61E-07
389	1.90E-06	5.11E-07
390	2.41E-06	7.53E-07
391	2.66E-06	9.44E-07
392	2.50E-06	1.04E-06
393	1.99E-06	1.04E-06
394	1.30E-06	9.65E-07
395	6.03E-07	8.47E-07
396	6.72E-08	7.09E-07
397	0	5.73E-07
398	0	4.47E-07
399	2.22E-07	3.32E-07
400	7.65E-07	2.33E-07
401	1.49E-06	1.51E-07
402	2.33E-06	9.03E-08
403	3.16E-06	5.94E-08
404	3.84E-06	6.67E-08
405	4.24E-06	1.21E-07
406	4.25E-06	2.28E-07
407	3.90E-06	3.75E-07
408	3.38E-06	5.27E-07
409	2.87E-06	6.50E-07
410	2.53E-06	7.11E-07
411	2.53E-06	6.87E-07
412	2.81E-06	5.94E-07
413	3.29E-06	4.63E-07
414	3.88E-06	3.23E-07
415	4.48E-06	2.04E-07
416	5.07E-06	1.33E-07
417	5.69E-06	1.33E-07
418	6.38E-06	2.26E-07
419	7.20E-06	4.34E-07
420	8.21E-06	7.76E-07
421	9.46E-06	1.23E-06
422	1.11E-05	1.74E-06
423	1.31E-05	2.27E-06
424	1.56E-05	2.75E-06
425	1.87E-05	3.19E-06
426	2.22E-05	3.71E-06
427	2.61E-05	4.46E-06
428	3.01E-05	5.60E-06
429	3.43E-05	7.28E-06
430	3.86E-05	9.52E-06
431	4.35E-05	1.22E-05
432	4.92E-05	1.51E-05
433	5.63E-05	1.82E-05
434	6.48E-05	2.13E-05
435	7.47E-05	2.47E-05
436	8.55E-05	2.88E-05
437	9.70E-05	3.41E-05
438	0.000108581	4.08E-05
439	0.000119961	4.89E-05
440	0.000130701	5.78E-05
441	0.000140547	6.68E-05
442	0.000148933	7.52E-05
443	0.000155447	8.21E-05
444	0.00015977	8.75E-05
445	0.000161631	9.10E-05
446	0.000160762	9.27E-05
447	0.00015689	9.25E-05
448	0.000150093	9.04E-05
449	0.000141175	8.69E-05
450	0.000131032	8.24E-05
451	0.000120377	7.73E-05
452	0.000110268	7.22E-05
453	0.000100935	6.74E-05
454	9.23E-05	6.31E-05
455	8.41E-05	5.94E-05
456	7.64E-05	5.67E-05
457	6.91E-05	5.50E-05
458	6.22E-05	5.40E-05
459	5.60E-05	5.38E-05
460	5.07E-05	5.39E-05
461	4.64E-05	5.44E-05
462	4.29E-05	5.53E-05
463	3.99E-05	5.65E-05
464	3.71E-05	5.83E-05
465	3.41E-05	6.07E-05
466	3.09E-05	6.40E-05
467	2.76E-05	6.79E-05
468	2.46E-05	7.23E-05
469	2.20E-05	7.73E-05
470	2.01E-05	8.28E-05
471	1.89E-05	8.83E-05
472	1.81E-05	9.41E-05
473	1.76E-05	0.000100109
474	1.72E-05	0.000106288
475	1.66E-05	0.000112576
476	1.59E-05	0.000118679
477	1.52E-05	0.000124787
478	1.45E-05	0.000130861
479	1.38E-05	0.000136881
480	1.31E-05	0.000142924
481	1.24E-05	0.000148884
482	1.19E-05	0.000155066
483	1.15E-05	0.000161578
