Name	0	17	34	51	68	85	102	119	136	153	170	187	204	221	238	255
Date	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018
Time	06:25pm	06:28pm	06:30pm	06:32pm	06:34pm	06:36pm	06:38pm	06:40pm	06:41pm	06:43pm	06:44pm	06:46pm	06:47pm	06:48pm	06:50pm	06:50pm
Integration time [ms]	60000	60000	60000	60000	30443	19825	13920	8571	6258	4987	4088	3363	2854	2424	2092	1747
Luminance[cd/sqm]	2.32E-01	3.42E-01	1.55E+00	4.35E+00	1.09E+01	1.84E+01	2.80E+01	4.06E+01	5.50E+01	7.14E+01	9.04E+01	1.13E+02	1.36E+02	1.62E+02	1.91E+02	2.28E+02
Radiance[W/sr*sqm]	1.66E-03	2.07E-03	6.16E-03	1.56E-02	3.79E-02	6.37E-02	9.62E-02	1.39E-01	1.88E-01	2.45E-01	3.09E-01	3.85E-01	4.64E-01	5.52E-01	6.51E-01	7.82E-01
CCT [K]	11366	10015	6821	6855	6760	6769	6691	6723	6753	6792	6748	6752	6738	6764	6730	6718
DWl[nm]	479	479	487	489	488	487	488	488	488	487	487	487	487	487	487	486
PE[%]	24.8	21.9	9.4	9.5	8.9	9	8.5	8.8	8.9	9.2	8.9	9	8.9	9	8.8	8.8
x	0.2743	0.2808	0.3077	0.3065	0.3083	0.3084	0.3095	0.309	0.3086	0.3082	0.3089	0.3089	0.309	0.3087	0.3091	0.3096
y	0.2806	0.2879	0.3244	0.3274	0.3271	0.3254	0.3267	0.3263	0.3258	0.3242	0.3246	0.3242	0.325	0.3243	0.3251	0.3237
u'	0.1886	0.1906	0.196	0.1941	0.1954	0.1962	0.1965	0.1963	0.1962	0.1965	0.1968	0.197	0.1968	0.1968	0.1968	0.1977
v'	0.434	0.4397	0.4651	0.4666	0.4667	0.4657	0.4666	0.4663	0.466	0.4651	0.4654	0.4651	0.4656	0.4652	0.4657	0.465
Reference Illuminant	daylight >7000K	daylight >7000K	daylight 5000-7000K	daylight 5000-7000K	daylight 5000-7000K	daylight 5000-7000K	daylight 5000-7000K	daylight 5000-7000K	daylight 5000-7000K	daylight 5000-7000K	daylight 5000-7000K	daylight 5000-7000K	daylight 5000-7000K	daylight 5000-7000K	daylight 5000-7000K	daylight 5000-7000K
CCT [K]	11366	10015	6821	6855	6760	6769	6691	6723	6753	6792	6748	6752	6738	6764	6730	6718
R1	98	98.3	97.2	94.6	95.6	96.7	96.5	96.2	96.2	96.8	96.9	97	96.4	96.2	95.8	96.8
R2	88.2	85.9	87.5	86	86.7	87.3	87.2	87	87	87.2	87.3	87.4	87.1	87	86.8	87.3
R3	70.9	68.9	74.1	73.9	74	73.9	74	73.9	73.8	73.7	73.7	73.7	73.7	73.6	73.7	73.6
R4	81.2	81.3	83.3	83.4	83.5	83.5	83.5	83.5	83.6	83.5	83.6	83.7	83.9	84	84.1	84.2
R5	97.3	94	93.1	90.9	91.8	92.6	92.5	92.2	92.2	92.7	92.8	92.9	92.4	92.3	92	92.8
R6	82.9	78.9	82.2	80.6	81.2	81.8	81.7	81.4	81.3	81.6	81.6	81.6	81.2	81	80.8	81.2
R7	85	83.6	85.8	85.6	85.8	85.8	85.8	85.7	85.7	85.7	85.8	85.8	85.8	85.8	85.9	85.9
R8	87.2	88.1	90.3	89.7	89.9	90.2	90.2	90.1	90.1	90.2	90.3	90.3	90.3	90.3	90.2	90.5
R9	87.2	97.4	83.9	77.1	78.2	81.8	81.1	80.2	80.6	82.6	83.1	83.6	81.9	81.9	80.7	84.3
R10	66.6	60.5	65.5	62.5	63.8	64.8	64.7	64.3	64.1	64.6	64.8	64.9	64.3	64	63.6	64.6
R11	78.6	79.6	81.8	81.7	81.9	82	82	82.1	82.2	82.1	82.3	82.4	82.6	82.7	82.9	83.1
R12	58.7	54.5	60	57.6	58.5	59.1	59.1	58.7	58.5	58.8	58.9	58.8	58.3	58	57.6	58.1
R13	97.7	94.7	94.1	91.6	92.7	93.7	93.5	93.2	93.2	93.7	93.9	93.9	93.4	93.2	92.9	93.8
R14	83.4	82.3	84.7	84.7	84.7	84.5	84.6	84.6	84.5	84.4	84.4	84.4	84.4	84.4	84.5	84.3
Ra	86.34	84.88	86.7	85.6	86.07	86.47	86.4	86.27	86.25	86.42	86.5	86.54	86.35	86.27	86.17	86.53
																
wavelength [nm]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]
																
380	1.53877E-06	4.31765E-07	1.25519E-06	4.76145E-07	1.03486E-06	9.26721E-07	5.66714E-07	1.125E-07	2.26397E-07	1.36724E-06	1.72226E-06	5.66995E-07	5.28172E-06	1.32476E-06	0	0
381	2.061E-06	1.89784E-07	1.63878E-06	2.17127E-07	3.49221E-07	3.02582E-07	2.41645E-07	2.69148E-07	1.12177E-07	6.36811E-07	2.11298E-06	8.72232E-07	5.41092E-06	1.63353E-06	1.30626E-07	0
382	2.40209E-06	4.89346E-09	1.75939E-06	5.49124E-09	6.40556E-09	8.1345E-09	1.30707E-08	4.81441E-07	2.3479E-08	3.71688E-08	2.70333E-06	1.23117E-06	5.35311E-06	1.71905E-06	6.55413E-07	7.05561E-08
383	2.50093E-06	0	1.54203E-06	0	1.33913E-07	1.64582E-07	0	7.36072E-07	0	0	3.50609E-06	1.62659E-06	5.12675E-06	1.54542E-06	9.78536E-07	5.23164E-07
384	2.40297E-06	0	1.10582E-06	0	5.61602E-07	6.09677E-07	0	9.88984E-07	0	0	4.35811E-06	1.98844E-06	4.77161E-06	1.24452E-06	1.09194E-06	9.786E-07
385	2.1753E-06	0	6.06608E-07	0	1.06204E-06	1.12664E-06	0	1.19207E-06	1.3633E-08	0	5.06681E-06	2.23929E-06	4.32968E-06	9.7801E-07	1.0291E-06	1.51437E-06
386	1.90264E-06	0	1.88075E-07	0	1.4473E-06	1.53832E-06	0	1.3183E-06	1.03904E-07	0	5.52719E-06	2.33841E-06	3.88793E-06	9.03805E-07	8.30843E-07	2.22879E-06
387	1.60779E-06	1.07249E-08	0	3.5803E-08	1.51394E-06	1.6498E-06	1.57923E-08	1.31109E-06	2.45504E-07	4.31659E-07	5.50887E-06	2.18829E-06	3.41826E-06	1.148E-06	5.06205E-07	3.17863E-06
388	1.32545E-06	2.93608E-08	2.60821E-09	1.69564E-07	1.2069E-06	1.3995E-06	2.15812E-08	1.18629E-06	4.40739E-07	1.20717E-06	4.99244E-06	1.7976E-06	2.95914E-06	1.7285E-06	1.16222E-07	4.31803E-06
389	1.0578E-06	3.14485E-08	1.91546E-07	2.87631E-07	7.1515E-07	9.42248E-07	1.00603E-08	1.06417E-06	6.91205E-07	2.04239E-06	4.22666E-06	1.31516E-06	2.55811E-06	2.44691E-06	0	5.39833E-06
390	8.03636E-07	2.26684E-08	4.31234E-07	3.52342E-07	2.45439E-07	4.49129E-07	0	1.07114E-06	9.98363E-07	2.78198E-06	3.47832E-06	8.98552E-07	2.26184E-06	3.09021E-06	0	6.15947E-06
391	5.61824E-07	8.46616E-09	6.20526E-07	3.27624E-07	0	8.41651E-08	0	1.32847E-06	1.36373E-06	3.27735E-06	3.00343E-06	6.98862E-07	2.11526E-06	3.4545E-06	0	6.35276E-06
392	3.32143E-07	0	6.67321E-07	1.83379E-07	1.43848E-07	0	2.9712E-08	1.94083E-06	1.78592E-06	3.39428E-06	3.03148E-06	8.52493E-07	2.15806E-06	3.35763E-06	4.6941E-07	5.76109E-06
393	1.30946E-07	0	5.66676E-07	0	6.42698E-07	1.93881E-07	7.70468E-08	2.81592E-06	2.21851E-06	3.15203E-06	3.52438E-06	1.35012E-06	2.37802E-06	2.85873E-06	1.48563E-06	4.55444E-06
394	0	0	3.82555E-07	0	1.26972E-06	5.72181E-07	1.11322E-07	3.70636E-06	2.57982E-06	2.69084E-06	4.23249E-06	2.06723E-06	2.7218E-06	2.20708E-06	2.74E-06	3.20712E-06
395	0	0	1.78466E-07	0	1.80553E-06	1.02802E-06	1.02902E-07	4.36977E-06	2.79027E-06	2.14909E-06	4.90963E-06	2.88073E-06	3.13689E-06	1.6479E-06	4.07872E-06	2.18412E-06
396	0	0	1.54439E-08	0	2.04048E-06	1.46289E-06	2.33258E-08	4.57578E-06	2.77494E-06	1.66069E-06	5.32222E-06	3.6744E-06	3.57486E-06	1.41762E-06	5.35702E-06	1.93333E-06
397	1.71502E-07	2.78087E-08	0	4.74879E-07	1.82083E-06	1.79239E-06	0	4.16071E-06	2.49205E-06	1.3386E-06	5.29131E-06	4.34148E-06	3.99741E-06	1.70458E-06	6.44956E-06	2.77446E-06
398	4.30537E-07	6.11691E-08	0	1.17725E-06	1.28233E-06	2.00055E-06	0	3.3253E-06	2.09218E-06	1.21695E-06	4.93705E-06	4.82688E-06	4.43542E-06	2.47924E-06	7.3416E-06	4.40023E-06
399	6.88345E-07	8.87408E-08	0	1.87889E-06	6.54766E-07	2.09474E-06	0	2.3875E-06	1.78664E-06	1.30204E-06	4.47659E-06	5.0938E-06	4.94182E-06	3.63904E-06	8.05542E-06	6.2989E-06
400	8.72008E-07	1.00363E-07	4.31778E-08	2.40054E-06	1.59861E-07	2.08205E-06	0	1.65412E-06	1.7793E-06	1.59989E-06	4.1195E-06	5.10678E-06	5.56769E-06	5.08498E-06	8.61257E-06	7.97667E-06
401	9.14276E-07	8.65549E-08	7.78253E-08	2.57782E-06	1.09283E-08	1.97563E-06	1.20482E-07	1.42475E-06	2.27316E-06	2.12285E-06	4.0803E-06	4.84724E-06	6.38214E-06	6.74274E-06	9.06249E-06	8.98709E-06
402	7.85978E-07	4.67606E-08	8.07698E-08	2.33033E-06	3.00265E-07	1.78894E-06	8.29126E-07	1.82315E-06	3.30955E-06	2.85185E-06	4.45965E-06	4.34924E-06	7.38931E-06	8.51726E-06	9.44092E-06	9.168E-06
403	5.52097E-07	1.00747E-09	8.15836E-08	1.79253E-06	8.70614E-07	1.57251E-06	1.71568E-06	2.63363E-06	4.61643E-06	3.72391E-06	5.18945E-06	3.84625E-06	8.54545E-06	1.03434E-05	9.89884E-06	9.08047E-06
404	2.88021E-07	0	1.14459E-07	1.12275E-06	1.53585E-06	1.37972E-06	2.6309E-06	3.60067E-06	5.8866E-06	4.67122E-06	6.17972E-06	3.59047E-06	9.79964E-06	1.21596E-05	1.05957E-05	9.36387E-06
405	6.74578E-08	0	2.12826E-07	4.75819E-07	2.11398E-06	1.26277E-06	3.42888E-06	4.47445E-06	6.81968E-06	5.62745E-06	7.34247E-06	3.82847E-06	1.11021E-05	1.39057E-05	1.16873E-05	1.06433E-05
406	0	4.59664E-08	4.06859E-07	0	2.43562E-06	1.27103E-06	3.97509E-06	5.02452E-06	7.14287E-06	6.53227E-06	8.59756E-06	4.79286E-06	1.24128E-05	1.5535E-05	1.33242E-05	1.35012E-05
407	0	1.5728E-07	6.78141E-07	0	2.47699E-06	1.41519E-06	4.26389E-06	5.24925E-06	6.92935E-06	7.37251E-06	9.92549E-06	6.53024E-06	1.37832E-05	1.71382E-05	1.55457E-05	1.79073E-05
408	5.11333E-08	2.74728E-07	9.66988E-07	0	2.34004E-06	1.67388E-06	4.40201E-06	5.34529E-06	6.5521E-06	8.17922E-06	1.13638E-05	8.93117E-06	1.53506E-05	1.89328E-05	1.83045E-05	2.33168E-05
409	1.56949E-07	3.5901E-07	1.21355E-06	0	2.12875E-06	2.02512E-06	4.49769E-06	5.51182E-06	6.38643E-06	8.98425E-06	1.2951E-05	1.18832E-05	1.72521E-05	2.11361E-05	2.15514E-05	2.91784E-05
410	2.40062E-07	3.71633E-07	1.35923E-06	0	1.945E-06	2.44737E-06	4.65695E-06	5.94391E-06	6.79995E-06	9.81879E-06	1.47249E-05	1.52763E-05	1.9622E-05	2.39608E-05	2.52381E-05	3.49527E-05
411	2.62794E-07	2.87707E-07	1.36256E-06	2.83675E-07	1.88183E-06	2.92841E-06	4.98299E-06	6.81237E-06	8.10002E-06	1.07576E-05	1.67572E-05	1.9046E-05	2.26171E-05	2.76312E-05	2.94065E-05	4.03194E-05
412	2.29678E-07	1.49291E-07	1.26103E-06	6.4547E-07	1.98566E-06	3.49005E-06	5.55009E-06	8.14551E-06	1.02718E-05	1.20577E-05	1.92253E-05	2.3273E-05	2.64194E-05	3.23249E-05	3.44352E-05	4.58849E-05
413	1.59122E-07	2.01305E-08	1.11874E-06	1.01987E-06	2.28946E-06	4.16726E-06	6.42727E-06	9.93115E-06	1.32026E-05	1.4043E-05	2.23534E-05	2.80984E-05	3.12368E-05	3.82259E-05	4.08326E-05	5.25839E-05
414	6.92225E-08	0	9.98669E-07	1.36629E-06	2.82563E-06	4.9944E-06	7.68228E-06	1.21573E-05	1.67821E-05	1.70312E-05	2.63619E-05	3.36611E-05	3.72735E-05	4.55152E-05	4.90984E-05	6.13347E-05
415	0	3.84931E-08	9.62348E-07	1.64529E-06	3.62577E-06	6.00555E-06	9.38168E-06	1.48128E-05	2.09025E-05	2.13341E-05	3.14674E-05	4.00986E-05	4.47315E-05	5.43719E-05	5.9723E-05	7.30377E-05
