Name	0	17	34	51	68	85	102	119	136	153	170	187	204	221	238	255
Date	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018
Time	06:55pm	06:57pm	06:59pm	07:01pm	07:04pm	07:06pm	07:08pm	07:11pm	07:12pm	07:14pm	07:16pm	07:18pm	07:19pm	07:21pm	07:22pm	07:24pm
Integration time [ms]	60000	60000	60000	60000	60000	60000	35067	26305	20288	16110	12939	8571	8571	6355	5531	4687
Luminance[cd/sqm]	3.62E-01	3.57E-01	6.51E-01	1.27E+00	2.23E+00	3.28E+00	5.68E+00	8.10E+00	1.10E+01	1.43E+01	1.82E+01	2.29E+01	2.74E+01	3.24E+01	3.82E+01	4.64E+01
Radiance[W/sr*sqm]	2.31E-03	2.41E-03	3.82E-03	6.81E-03	1.15E-02	1.67E-02	2.86E-02	4.04E-02	5.48E-02	7.09E-02	9.03E-02	1.14E-01	1.37E-01	1.62E-01	1.91E-01	2.33E-01
CCT [K]	8710	7525	0	1391	1217	1126	1084	0	0	0	0	0	0	0	0	0
DWl[nm]	479	444	-495	625	618	616	615	614	613	613	613	613	612	612	612	611
PE[%]	18.1	15.5	30.8	53.4	67.2	74.5	79.6	82.5	84.1	85.7	86.9	87.9	88.7	89.7	90.4	91.6
x	0.2901	0.3068	0.4374	0.5293	0.5707	0.5935	0.6083	0.6166	0.6213	0.626	0.6294	0.632	0.634	0.6367	0.6387	0.6415
y	0.2957	0.2839	0.3032	0.3155	0.32	0.3215	0.3235	0.3251	0.3256	0.3264	0.3269	0.3277	0.3284	0.329	0.3294	0.3305
u'	0.1944	0.2118	0.3036	0.3696	0.4006	0.4187	0.4294	0.4352	0.4388	0.442	0.4445	0.4461	0.447	0.4488	0.4501	0.4515
v'	0.4459	0.441	0.4735	0.4958	0.5054	0.5102	0.5139	0.5162	0.5173	0.5186	0.5194	0.5203	0.521	0.5218	0.5224	0.5234
Reference Illuminant	daylight >7000K	daylight >7000K	daylight >7000K	Planckian radiator	Planckian radiator	Planckian radiator	Planckian radiator	Planckian radiator	Planckian radiator	Planckian radiator	Planckian radiator	Planckian radiator	Planckian radiator	Planckian radiator	Planckian radiator	Planckian radiator
CCT [K]	8710	7525	7525	1391	1217	1126	1084	1084	1084	1084	1084	1084	1084	1084	1084	1084
R1	99.5	75.3	75.3	91.7	71.3	58.3	48.8	48.8	48.8	48.8	48.8	48.8	48.8	48.8	48.8	48.8
R2	88.4	92.2	92.2	79.9	90.9	97	96.2	96.2	96.2	96.2	96.2	96.2	96.2	96.2	96.2	96.2
R3	71.7	70.8	70.8	52.7	48.3	43	41.4	41.4	41.4	41.4	41.4	41.4	41.4	41.4	41.4	41.4
R4	83.4	68.9	68.9	80.7	55	36.6	23.4	23.4	23.4	23.4	23.4	23.4	23.4	23.4	23.4	23.4
