Name	0	17	34	51	68	85	102	119	136	153	170	187	204	221	238	255
Date	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018	15/02/2018
Time	08:51pm	08:53pm	08:55pm	08:57pm	08:59pm	09:01pm	09:03pm	09:03pm	09:04pm	09:04pm	09:05pm	09:06pm	09:06pm	09:06pm	09:07pm	09:07pm
Integration time [ms]	60000	60000	28121	20380	16467	13721	11914	10273	7695	8522	6621	5919	6637	6122	4743	5190
Luminance[cd/sqm]	3.96E-01	3.81E+00	7.53E+00	1.10E+01	1.40E+01	1.71E+01	2.00E+01	2.32E+01	2.62E+01	2.86E+01	3.15E+01	3.41E+01	3.64E+01	3.92E+01	4.26E+01	4.66E+01
Radiance[W/sr*sqm]	2.55E-03	1.93E-02	3.76E-02	5.47E-02	6.96E-02	8.50E-02	9.92E-02	1.15E-01	1.30E-01	1.42E-01	1.57E-01	1.70E-01	1.82E-01	1.96E-01	2.14E-01	2.34E-01
CCT [K]	8794	1135	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DWl[nm]	477	615	614	613	613	613	613	612	612	612	612	612	612	612	612	611
PE[%]	18.4	74.5	81	83.6	85	86.4	87.1	87.8	88.4	88.8	89.3	89.7	90.2	90.5	91	91.5
x	0.2907	0.5925	0.6119	0.6193	0.6239	0.6276	0.6295	0.6315	0.6331	0.6341	0.6356	0.6365	0.6377	0.6387	0.6398	0.6411
y	0.2919	0.3225	0.3246	0.3258	0.3262	0.327	0.3273	0.3279	0.3281	0.3285	0.3288	0.3291	0.3294	0.3298	0.3301	0.3304
u'	0.1963	0.4169	0.4316	0.4369	0.4404	0.4428	0.4442	0.4453	0.4465	0.4471	0.4481	0.4485	0.4492	0.4498	0.4505	0.4512
v'	0.4436	0.5106	0.5151	0.5171	0.5181	0.5192	0.5197	0.5203	0.5207	0.5211	0.5215	0.5218	0.5222	0.5225	0.5229	0.5233
Reference Illuminant	daylight >7000K	Planckian radiator	Planckian radiator	Planckian radiator	Planckian radiator	Planckian radiator	Planckian radiator	Planckian radiator	Planckian radiator	Planckian radiator	Planckian radiator	Planckian radiator	Planckian radiator	Planckian radiator	Planckian radiator	Planckian radiator
CCT [K]	8794	1135	1135	1135	1135	1135	1135	1135	1135	1135	1135	1135	1135	1135	1135	1135
R1	94.2	59.1	59.1	59.1	59.1	59.1	59.1	59.1	59.1	59.1	59.1	59.1	59.1	59.1	59.1	59.1
R2	90.3	96.8	96.8	96.8	96.8	96.8	96.8	96.8	96.8	96.8	96.8	96.8	96.8	96.8	96.8	96.8
R3	70.8	43.5	43.5	43.5	43.5	43.5	43.5	43.5	43.5	43.5	43.5	43.5	43.5	43.5	43.5	43.5
R4	80.2	37.8	37.8	37.8	37.8	37.8	37.8	37.8	37.8	37.8	37.8	37.8	37.8	37.8	37.8	37.8
R5	98.4	62.2	62.2	62.2	62.2	62.2	62.2	62.2	62.2	62.2	62.2	62.2	62.2	62.2	62.2	62.2
R6	84.1	71.3	71.3	71.3	71.3	71.3	71.3	71.3	71.3	71.3	71.3	71.3	71.3	71.3	71.3	71.3
R7	84.6	35.8	35.8	35.8	35.8	35.8	35.8	35.8	35.8	35.8	35.8	35.8	35.8	35.8	35.8	35.8
R8	84.8	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2	-0.2
R9	77.5	-69.2	-69.2	-69.2	-69.2	-69.2	-69.2	-69.2	-69.2	-69.2	-69.2	-69.2	-69.2	-69.2	-69.2	-69.2
R10	70.7	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86
R11	78	60.2	60.2	60.2	60.2	60.2	60.2	60.2	60.2	60.2	60.2	60.2	60.2	60.2	60.2	60.2
R12	61.3	18.5	18.5	18.5	18.5	18.5	18.5	18.5	18.5	18.5	18.5	18.5	18.5	18.5	18.5	18.5
R13	97.7	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4	75.4
R14	82.8	70.3	70.3	70.3	70.3	70.3	70.3	70.3	70.3	70.3	70.3	70.3	70.3	70.3	70.3	70.3
Ra	85.92	50.8	50.8	50.8	50.8	50.8	50.8	50.8	50.8	50.8	50.8	50.8	50.8	50.8	50.8	50.8
																
wavelength [nm]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]
																
380	0	0	8.70767E-07	1.38693E-06	1.7045E-06	9.1141E-07	0	0	0	0	0	2.42926E-07	2.7322E-06	0	1.17937E-06	4.37861E-07
381	0	0	3.73332E-07	1.75519E-06	2.03707E-06	2.74894E-07	0	0	0	4.86157E-09	0	1.60436E-08	3.49094E-06	0	1.75616E-06	2.08571E-07
382	0	0	9.7408E-09	1.84091E-06	2.10933E-06	1.02025E-08	1.03034E-08	7.78754E-09	1.52541E-08	1.60402E-08	1.66516E-08	2.05004E-08	3.76556E-06	2.15893E-08	2.04735E-06	2.93279E-08
383	4.49726E-07	4.01568E-07	0	1.57815E-06	1.85669E-06	2.49877E-07	1.13478E-07	3.95563E-07	2.04213E-07	3.02766E-08	3.1066E-07	3.16354E-07	3.43273E-06	7.03818E-08	1.91174E-06	0
