Name	red	green	blue
Date	15/02/2018	15/02/2018	15/02/2018
Time	09:40pm	09:40pm	09:41pm
Integration time [ms]	4658	3186	1872
Luminance[cd/sqm]	4.68E+01	1.59E+02	1.71E+01
Radiance[W/sr*sqm]	2.35E-01	2.98E-01	2.37E-01
CCT [K]	0	0	0
DWl[nm]	611	549	463
PE[%]	91.7	78.2	92.5
x	0.6416	0.304	0.1535
y	0.3305	0.6186	0.0582
u'	0.4516	0.1239	0.181
v'	0.5234	0.5672	0.1546
Reference Illuminant	daylight >7000K	daylight >7000K	daylight >7000K
CCT [K]	8060	8060	8060
R1	95.5	95.5	95.5
R2	85.1	85.1	85.1
R3	70.7	70.7	70.7
R4	83.2	83.2	83.2
R5	91.7	91.7	91.7
R6	77.9	77.9	77.9
R7	84.4	84.4	84.4
R8	89.5	89.5	89.5
R9	83.6	83.6	83.6
R10	59.1	59.1	59.1
R11	82.4	82.4	82.4
R12	52.5	52.5	52.5
R13	92.2	92.2	92.2
R14	83.1	83.1	83.1
Ra	84.75	84.75	84.75
			
wavelength [nm]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]
			
380	0	2.74602E-07	0
381	0	1.50878E-07	0
382	1.9416E-08	4.52216E-08	7.18867E-08
383	6.73346E-07	0	2.19071E-07
384	1.3986E-06	0	3.59078E-07
385	2.02005E-06	0	4.09083E-07
386	2.40928E-06	0	2.97749E-07
387	2.39113E-06	6.25274E-08	0
388	1.94122E-06	1.60357E-07	0
389	1.26542E-06	2.60944E-07	0
390	5.8539E-07	3.41349E-07	0
391	1.13608E-07	3.79616E-07	0
392	4.11459E-08	3.56259E-07	1.06129E-06
393	3.40138E-07	2.7995E-07	3.36452E-06
394	8.0977E-07	1.8154E-07	5.96949E-06
395	1.25191E-06	9.13393E-08	8.41925E-06
396	1.47701E-06	3.84977E-08	1.02805E-05
397	1.34341E-06	4.31614E-08	1.12052E-05
398	9.53547E-07	8.07317E-08	1.13056E-05
399	4.89461E-07	1.12088E-07	1.08454E-05
400	1.26808E-07	9.94836E-08	1.00787E-05
401	3.46138E-08	6.7746E-09	9.28009E-06
402	2.76687E-07	0	8.65136E-06
403	6.9921E-07	0	8.4209E-06
404	1.12354E-06	0	8.81156E-06
405	1.37503E-06	7.49097E-08	1.00412E-05
406	1.29379E-06	7.74248E-07	1.2314E-05
407	9.14523E-07	1.77838E-06	1.55982E-05
408	4.38773E-07	2.85178E-06	1.96682E-05
409	6.95122E-08	3.75845E-06	2.42965E-05
410	5.53471E-09	4.26726E-06	2.92602E-05
411	3.95445E-07	4.21314E-06	3.44568E-05
412	1.13905E-06	3.73884E-06	4.0242E-05
413	2.05642E-06	3.08993E-06	4.71444E-05
414	2.97075E-06	2.50772E-06	5.56835E-05
415	3.70953E-06	2.22793E-06	6.63708E-05
416	4.22981E-06	2.35073E-06	7.9989E-05
417	4.68727E-06	2.71688E-06	9.72297E-05
418	5.2656E-06	3.14727E-06	0.00011892
419	6.14692E-06	3.46436E-06	0.000145881
420	7.49969E-06	3.51042E-06	0.000178955
421	9.3409E-06	3.35225E-06	0.000219315
422	1.15919E-05	3.20799E-06	0.000268467
423	1.41715E-05	3.29555E-06	0.00032787
424	1.69991E-05	3.83077E-06	0.000398971
425	2.00002E-05	4.95396E-06	0.000483483
426	2.31059E-05	6.54505E-06	0.000583777
427	2.62725E-05	8.43426E-06	0.000702891
428	2.9448E-05	1.04518E-05	0.000843624
429	3.25879E-05	1.2436E-05	0.001008774
430	3.58474E-05	1.44019E-05	0.001202044
431	3.96487E-05	1.65803E-05	0.001429749
432	4.43432E-05	1.91786E-05	0.001695585
433	5.0316E-05	2.24166E-05	0.00200435
434	5.78477E-05	2.65355E-05	0.002360582
435	6.6623E-05	3.19091E-05	0.00276745
436	7.6208E-05	3.90048E-05	0.003231605
437	8.60081E-05	4.82136E-05	0.003752981
438	9.5504E-05	5.9951E-05	0.00433424
439	0.000104368	7.41036E-05	0.004964915
440	0.000112588	8.96897E-05	0.005612995
441	0.000120323	0.000105775	0.006251975
442	0.000127462	0.000121211	0.006841913
443	0.000133963	0.000134978	0.007350131
444	0.000139296	0.000146395	0.007755957
445	0.00014269	0.000154953	0.008044711
446	0.000143371	0.000160146	0.008201867
447	0.000140561	0.000161464	0.008212633
448	0.00013409	0.000158864	0.008075427
449	0.000125045	0.00015327	0.007815904
450	0.000114674	0.000145731	0.007463186
