No.	Luminance	Radiance	   x	   y	   u'	   v'	  CCT	  PE	D. Wavelength
	[cd/sqm]	[W/(sr*sqm)]					[Kelvin]   %	    [nm]
1   	2.198e+00	6.779e-03	 0.3648	0.3697	0.2176	0.4961	 4410	  20	    576
2   	2.368e+00	6.955e-03	 0.3548	0.3957	0.2016	0.5060	 4888	  25	    566
3   	3.306e+00	9.227e-03	 0.3409	0.4251	0.1838	0.5156	 5377	  30	    558
4   	3.980e+00	1.066e-02	 0.3230	0.4550	0.1653	0.5241	     	  34	    550
5   	4.740e+00	1.202e-02	 0.2945	0.5001	0.1400	0.5350	     	  40	    541
6   	6.257e+00	1.538e-02	 0.2814	0.5270	0.1285	0.5414	     	  45	    538
7   	8.489e+00	2.030e-02	 0.2743	0.5462	0.1218	0.5458	     	  49	    538
8   	1.067e+01	2.511e-02	 0.2648	0.5645	0.1146	0.5496	     	  52	    536
9   	1.306e+01	3.013e-02	 0.2531	0.5884	0.1059	0.5542	     	  57	    535
10  	1.624e+01	3.700e-02	 0.2498	0.5968	0.1034	0.5559	     	  59	    535
11  	1.902e+01	4.295e-02	 0.2448	0.6066	0.1000	0.5577	     	  60	    534
12  	2.144e+01	4.794e-02	 0.2386	0.6189	0.0959	0.5598	     	  63	    534
13  	2.474e+01	5.496e-02	 0.2351	0.6261	0.0936	0.5611	     	  64	    533
14  	2.807e+01	6.189e-02	 0.2321	0.6326	0.0917	0.5622	     	  65	    533
15  	3.247e+01	7.127e-02	 0.2293	0.6381	0.0899	0.5631	     	  66	    533
16  	3.620e+01	7.927e-02	 0.2283	0.6400	0.0893	0.5634	     	  67	    533
17  	4.086e+01	8.908e-02	 0.2263	0.6445	0.0880	0.5642	     	  68	    533
18  	4.508e+01	9.807e-02	 0.2250	0.6478	0.0872	0.5647	     	  68	    533
19  	5.076e+01	1.100e-01	 0.2241	0.6509	0.0865	0.5653	     	  69	    533
20  	5.598e+01	1.212e-01	 0.2233	0.6527	0.0860	0.5656	     	  69	    533
21  	6.258e+01	1.351e-01	 0.2224	0.6550	0.0854	0.5660	     	  70	    533
22  	6.876e+01	1.481e-01	 0.2221	0.6571	0.0851	0.5664	     	  70	    533
23  	7.536e+01	1.621e-01	 0.2217	0.6583	0.0848	0.5666	     	  71	    533
24  	8.334e+01	1.790e-01	 0.2211	0.6596	0.0845	0.5668	     	  71	    533
25  	9.077e+01	1.947e-01	 0.2206	0.6612	0.0841	0.5671	     	  71	    533
26  	9.713e+01	2.081e-01	 0.2205	0.6623	0.0840	0.5673	     	  72	    533
27  	1.044e+02	2.234e-01	 0.2206	0.6624	0.0840	0.5674	     	  72	    533
28  	1.128e+02	2.411e-01	 0.2204	0.6637	0.0838	0.5676	     	  72	    533
29  	1.212e+02	2.588e-01	 0.2208	0.6639	0.0839	0.5677	     	  72	    533
30  	1.304e+02	2.779e-01	 0.2210	0.6648	0.0839	0.5679	     	  72	    533
31   	1.404e+02	2.988e-01	 0.2213	0.6651	0.0840	0.5680	     	  72	    533
32   	1.539e+02	3.273e-01	 0.2216	0.6660	0.0840	0.5682	     	  73	    533
