No.	Luminance	Radiance	   x	   y	   u'	   v'	  CCT	  PE	D. Wavelength 
	[cd/sqm]	[W/(sr*sqm)]					[Kelvin]   %	    [nm] 
1   	2.356e+00	7.159e-03	 0.3658	0.3726	0.2171	0.4976	 4399	  22	    576
2   	2.512e+00	7.759e-03	 0.3852	0.3707	0.2307	0.4996	 3804	  27	    582
3   	2.856e+00	8.951e-03	 0.4129	0.3671	0.2510	0.5022	 3118	  34	    589
4   	3.435e+00	1.103e-02	 0.4423	0.3621	0.2738	0.5044	 2563	  41	    594
5   	3.888e+00	1.273e-02	 0.4699	0.3564	0.2966	0.5061	 2159	  48	    598
6   	4.718e+00	1.576e-02	 0.4985	0.3522	0.3201	0.5088	 1845	  55	    601
7   	5.636e+00	1.920e-02	 0.5266	0.3481	0.3439	0.5116	 1604	  62	    604
8   	6.489e+00	2.236e-02	 0.5427	0.3459	0.3579	0.5132	 1491	  67	    605
9   	7.716e+00	2.688e-02	 0.5627	0.3429	0.3758	0.5152	 1373	  72	    606
10  	8.992e+00	3.171e-02	 0.5754	0.3404	0.3879	0.5163	 1297	  75	    608
11  	1.035e+01	3.675e-02	 0.5866	0.3389	0.3981	0.5175	 1238	  78	    608
12  	1.160e+01	4.148e-02	 0.5944	0.3374	0.4058	0.5182	 1198	  80	    609
13  	1.324e+01	4.744e-02	 0.6024	0.3374	0.4123	0.5196	 1167	  82	    609
14  	1.482e+01	5.347e-02	 0.6078	0.3360	0.4180	0.5199	 1142	  83	    609
15  	1.687e+01	6.104e-02	 0.6149	0.3357	0.4241	0.5210	     	  85	    609
17  	1.869e+01	6.790e-02	 0.6180	0.3348	0.4275	0.5212	     	  86	    610
18  	2.036e+01	7.442e-02	 0.6228	0.3339	0.4323	0.5216	     	  87	    610
20  	2.228e+01	8.170e-02	 0.6284	0.3329	0.4381	0.5221	     	  88	    610
21  	2.493e+01	9.164e-02	 0.6307	0.3326	0.4404	0.5224	     	  89	    611
22  	2.730e+01	1.006e-01	 0.6341	0.3324	0.4434	0.5230	     	  90	    611
23  	3.000e+01	1.105e-01	 0.6363	0.3323	0.4454	0.5233	     	  91	    611
24  	3.299e+01	1.216e-01	 0.6377	0.3322	0.4466	0.5235	     	  91	    611
25  	3.553e+01	1.314e-01	 0.6389	0.3319	0.4479	0.5236	     	  91	    611
26  	3.952e+01	1.462e-01	 0.6393	0.3317	0.4485	0.5236	     	  91	    611
27  	4.288e+01	1.588e-01	 0.6421	0.3317	0.4508	0.5241	     	  92	    611
28  	4.603e+01	1.707e-01	 0.6428	0.3315	0.4517	0.5241	     	  92	    611
29  	4.962e+01	1.842e-01	 0.6443	0.3315	0.4530	0.5244	     	  93	    611
30  	5.290e+01	1.972e-01	 0.6467	0.3309	0.4556	0.5246	     	  93	    611
31  	5.667e+01	2.112e-01	 0.6466	0.3311	0.4554	0.5246	     	  93	    611
32  	5.990e+01	2.236e-01	 0.6470	0.3314	0.4554	0.5249	     	  94	    611
33  	6.418e+01	2.390e-01	 0.6490	0.3311	0.4574	0.5251	     	  94	    611
34  	6.984e+01	2.609e-01	 0.6490	0.3309	0.4577	0.5250	     	  94	    611
