No.	Luminance	Radiance	   x	   y	   u'	   v'	  CCT	  PE	D. Wavelength 
	[cd/sqm]	[W/(sr*sqm)]					[Kelvin]   %	    [nm] 
1   	2.471e+00	7.453e-03	 0.3641	0.3747	0.2151	0.4983	 4468	  22	    574
2   	2.493e+00	7.928e-03	 0.3508	0.3514	0.2153	0.4854	 4798	  11	    578
3   	2.473e+00	8.493e-03	 0.3221	0.3145	0.2102	0.4617	 6067	   6	    456
4   	2.473e+00	8.493e-03	 0.3221	0.3145	0.2102	0.4617	 6067	   6	    456
5   	2.599e+00	9.626e-03	 0.3027	0.2843	0.2085	0.4407	 7891	  16	    460
6   	2.730e+00	1.121e-02	 0.2775	0.2486	0.2044	0.4122	     	  29	    464
7   	2.953e+00	1.350e-02	 0.2552	0.2170	0.2004	0.3835	     	  40	    465
8   	3.198e+00	1.618e-02	 0.2367	0.1911	0.1964	0.3568	     	  49	    465
9   	3.504e+00	1.941e-02	 0.2225	0.1713	0.1931	0.3343	     	  56	    466
10  	3.831e+00	2.336e-02	 0.2091	0.1527	0.1895	0.3113	     	  62	    466
11  	4.265e+00	2.810e-02	 0.1999	0.1395	0.1871	0.2938	     	  67	    466
13  	4.662e+00	3.535e-02	 0.1842	0.1187	0.1817	0.2634	     	  74	    466
14  	5.124e+00	4.104e-02	 0.1790	0.1116	0.1799	0.2522	     	  77	    466
15  	5.479e+00	4.599e-02	 0.1750	0.1060	0.1784	0.2433	     	  79	    466
16  	6.181e+00	5.277e-02	 0.1725	0.1037	0.1770	0.2394	     	  80	    467
17  	6.468e+00	5.760e-02	 0.1694	0.0991	0.1759	0.2317	     	  81	    467
18  	7.015e+00	6.384e-02	 0.1672	0.0966	0.1749	0.2273	     	  82	    467
19  	7.600e+00	7.072e-02	 0.1655	0.0944	0.1742	0.2235	     	  83	    467
20  	8.294e+00	7.918e-02	 0.1634	0.0917	0.1732	0.2188	     	  84	    467
21  	8.834e+00	8.611e-02	 0.1617	0.0898	0.1722	0.2153	     	  85	    467
22  	9.456e+00	9.445e-02	 0.1602	0.0875	0.1718	0.2111	     	  86	    467
23  	1.036e+01	1.041e-01	 0.1590	0.0868	0.1708	0.2098	     	  86	    467
24  	1.104e+01	1.121e-01	 0.1583	0.0858	0.1705	0.2080	     	  86	    467
25  	1.192e+01	1.231e-01	 0.1569	0.0843	0.1697	0.2051	     	  87	    467
26  	1.289e+01	1.347e-01	 0.1560	0.0833	0.1692	0.2033	     	  87	    467
27  	1.376e+01	1.449e-01	 0.1552	0.0826	0.1687	0.2020	     	  88	    467
28  	1.477e+01	1.563e-01	 0.1546	0.0821	0.1682	0.2011	     	  88	    467
29  	1.581e+01	1.688e-01	 0.1537	0.0813	0.1676	0.1995	     	  88	    467
30  	1.688e+01	1.812e-01	 0.1530	0.0809	0.1670	0.1986	     	  89	    467
31  	1.799e+01	1.933e-01	 0.1527	0.0808	0.1667	0.1985	     	  89	    467
32  	1.893e+01	2.037e-01	 0.1524	0.0807	0.1664	0.1983	     	  89	    468
33  	2.031e+01	2.195e-01	 0.1518	0.0804	0.1658	0.1976	     	  89	    468
