No.	Luminance	Radiance	   x	   y	   u'	   v'	  CCT	  PE	D. Wavelength 
	[cd/sqm]	[W/(sr*sqm)]					[Kelvin]   %	    [nm] 
1   	2.490e+00	7.517e-03	 0.3672	0.3744	0.2173	0.4986	 4366	  23	    576
2   	2.985e+00	9.190e-03	 0.3611	0.3686	0.2156	0.4950	 4526	  19	    575
3   	3.970e+00	1.268e-02	 0.3452	0.3573	0.2093	0.4874	 5035	  11	    570
4   	5.336e+00	1.717e-02	 0.3430	0.3551	0.2087	0.4860	 5113	   9	    569
5   	7.305e+00	2.378e-02	 0.3374	0.3525	0.2059	0.4840	 5321	   7	    562
6   	9.771e+00	3.216e-02	 0.3321	0.3498	0.2033	0.4819	 5522	   5	    551
7   	1.291e+01	4.302e-02	 0.3296	0.3453	0.2033	0.4793	 5635	   3	    535
8   	1.613e+01	5.367e-02	 0.3265	0.3465	0.2008	0.4794	 5766	   3	    520
9   	2.033e+01	6.813e-02	 0.3264	0.3442	0.2016	0.4782	 5771	   2	    514
10  	2.541e+01	8.559e-02	 0.3255	0.3415	0.2019	0.4767	 5818	   2	    506
11  	2.942e+01	9.917e-02	 0.3238	0.3417	0.2007	0.4766	 5893	   3	    504
12  	3.460e+01	1.162e-01	 0.3250	0.3429	0.2011	0.4774	 5836	   3	    508
13  	4.020e+01	1.358e-01	 0.3249	0.3409	0.2018	0.4763	 5843	   3	    504
14  	4.567e+01	1.543e-01	 0.3242	0.3411	0.2012	0.4763	 5875	   3	    503
15  	5.234e+01	1.772e-01	 0.3253	0.3400	0.2024	0.4759	 5827	   2	    503
16  	5.836e+01	1.982e-01	 0.3250	0.3386	0.2027	0.4752	 5844	   3	    500
17  	6.553e+01	2.217e-01	 0.3241	0.3402	0.2015	0.4758	 5880	   3	    502
18  	7.276e+01	2.464e-01	 0.3243	0.3403	0.2016	0.4760	 5873	   3	    502
19  	8.253e+01	2.789e-01	 0.3251	0.3413	0.2018	0.4766	 5835	   3	    505
20  	9.086e+01	3.062e-01	 0.3243	0.3426	0.2007	0.4771	 5867	   3	    506
21  	1.017e+02	3.428e-01	 0.3245	0.3425	0.2009	0.4771	 5858	   3	    506
22  	1.115e+02	3.755e-01	 0.3251	0.3435	0.2009	0.4777	 5831	   3	    509
23  	1.219e+02	4.102e-01	 0.3240	0.3434	0.2002	0.4775	 5877	   3	    507
24  	1.348e+02	4.531e-01	 0.3249	0.3442	0.2005	0.4780	 5838	   3	    510
25  	1.468e+02	4.942e-01	 0.3248	0.3438	0.2006	0.4778	 5842	   3	    509
26  	1.588e+02	5.334e-01	 0.3246	0.3443	0.2003	0.4780	 5852	   3	    509
27  	1.698e+02	5.714e-01	 0.3253	0.3439	0.2009	0.4779	 5820	   3	    510
28  	1.840e+02	6.204e-01	 0.3244	0.3431	0.2006	0.4774	 5860	   3	    507
29  	1.971e+02	6.628e-01	 0.3233	0.3440	0.1995	0.4777	 5909	   3	    506
30  	2.110e+02	7.083e-01	 0.3240	0.3449	0.1996	0.4782	 5876	   3	    509
31  	2.271e+02	7.599e-01	 0.3257	0.3468	0.2001	0.4795	 5797	   3	    518
32  	2.480e+02	8.278e-01	 0.3264	0.3478	0.2002	0.4800	 5766	   3	    523
