wavelength [nm],Radiance[W/(sr*sqm*nm)],Radiance[W/(sr*sqm*nm)],Radiance[W/(sr*sqm*nm)]
380,3.19E-06,2.39E-06,4.77E-06
381,2.44E-06,3.16E-06,3.72E-06
382,1.65E-06,3.45E-06,2.84E-06
383,9.67E-07,3.12E-06,2.33E-06
384,4.45E-07,2.36E-06,2.14E-06
385,1.24E-07,1.42E-06,2.17E-06
386,4.02E-08,5.47E-07,2.38E-06
387,2.29E-07,0,2.66E-06
388,6.52E-07,0,2.96E-06
389,1.13E-06,0,3.31E-06
390,1.49E-06,0,3.71E-06
391,1.53E-06,6.14E-09,4.19E-06
392,1.13E-06,9.78E-08,4.75E-06
393,4.02E-07,9.41E-08,5.43E-06
394,0,4.89E-08,6.29E-06
395,0,1.60E-08,7.37E-06
396,9.62E-09,4.72E-08,8.72E-06
397,1.55E-06,1.89E-07,1.04E-05
398,3.83E-06,4.72E-07,1.24E-05
399,6.41E-06,9.18E-07,1.47E-05
400,8.85E-06,1.55E-06,1.74E-05
401,1.08E-05,2.40E-06,2.05E-05
402,1.19E-05,3.42E-06,2.39E-05
403,1.25E-05,4.50E-06,2.73E-05
404,1.26E-05,5.48E-06,3.06E-05
405,1.27E-05,6.21E-06,3.35E-05
406,1.27E-05,6.57E-06,3.59E-05
407,1.28E-05,6.57E-06,3.79E-05
408,1.28E-05,6.35E-06,4.03E-05
409,1.23E-05,6.03E-06,4.38E-05
410,1.13E-05,5.77E-06,4.90E-05
411,9.59E-06,5.66E-06,5.67E-05
412,7.66E-06,5.67E-06,6.70E-05
413,6.11E-06,5.71E-06,7.99E-05
414,5.54E-06,5.71E-06,9.57E-05
415,6.52E-06,5.58E-06,0.00011443
416,9.29E-06,5.34E-06,0.00013789
417,1.34E-05,5.12E-06,0.000170002
418,1.83E-05,5.08E-06,0.000215118
419,2.34E-05,5.37E-06,0.000277553
420,2.84E-05,6.12E-06,0.000360805
421,3.27E-05,7.20E-06,0.000458709
422,3.62E-05,8.33E-06,0.000558947
423,3.84E-05,9.20E-06,0.000649132
424,3.92E-05,9.52E-06,0.000716999
425,3.86E-05,9.25E-06,0.000762006
426,3.82E-05,9.27E-06,0.000823603
427,3.98E-05,1.06E-05,0.000950361
428,4.52E-05,1.44E-05,0.001189927
429,5.62E-05,2.15E-05,0.001587617
430,7.25E-05,3.19E-05,0.002136744
431,9.21E-05,4.43E-05,0.002775852
432,0.000112494,5.72E-05,0.003436352
433,0.000131424,6.92E-05,0.004051909
434,0.000146769,7.91E-05,0.004562508
435,0.000157585,8.62E-05,0.00494271
436,0.000163552,9.04E-05,0.005185967
437,0.00016395,9.10E-05,0.005273254
438,0.000158258,8.78E-05,0.005191645
439,0.000147063,8.12E-05,0.004959339
440,0.000132767,7.27E-05,0.004645622
441,0.000118079,6.41E-05,0.004329565
442,0.000105392,5.69E-05,0.004079173
443,9.70E-05,5.28E-05,0.003959766
444,9.26E-05,5.15E-05,0.003963026
445,9.08E-05,5.21E-05,0.004043732
446,9.01E-05,5.36E-05,0.004156345
447,8.90E-05,5.51E-05,0.004255145
448,8.65E-05,5.59E-05,0.004310441
449,8.27E-05,5.60E-05,0.004325886
450,7.80E-05,5.56E-05,0.004309312
451,7.26E-05,5.47E-05,0.004262028
452,6.67E-05,5.36E-05,0.004198271
453,6.09E-05,5.25E-05,0.004121874
454,5.56E-05,5.13E-05,0.004034481
455,5.12E-05,5.04E-05,0.003937701
456,4.82E-05,4.98E-05,0.003836749
457,4.67E-05,4.96E-05,0.003728801
458,4.63E-05,5.00E-05,0.003613484
459,4.63E-05,5.11E-05,0.003490238
460,4.64E-05,5.30E-05,0.003358504
461,4.61E-05,5.60E-05,0.003222594
462,4.51E-05,6.02E-05,0.003079178
463,4.38E-05,6.56E-05,0.002931209
464,4.22E-05,7.25E-05,0.002781669
465,4.05E-05,8.09E-05,0.002633556
466,3.89E-05,9.15E-05,0.002493363
467,3.74E-05,0.00010441,0.002356468
468,3.60E-05,0.000120361,0.002222891
469,3.47E-05,0.000139868,0.00209265
470,3.35E-05,0.000163457,0.00196584
471,3.23E-05,0.000190646,0.001836903
472,3.12E-05,0.000221857,0.001713914
473,3.03E-05,0.000257037,0.001597842
474,2.95E-05,0.000296126,0.001489648
475,2.88E-05,0.000338585,0.001389627
476,2.85E-05,0.000382294,0.00129425
477,2.86E-05,0.000426502,0.00120578
478,2.94E-05,0.000469838,0.001123307
479,3.09E-05,0.000511151,0.001046131
480,3.31E-05,0.000550467,0.00097469
481,3.58E-05,0.00058738,0.00090851
482,3.90E-05,0.000623068,0.000849893
483,4.24E-05,0.000657969,0.000799584
484,4.59E-05,0.000692607,0.000757385
485,4.89E-05,0.000727596,0.000722084
486,5.11E-05,0.000765236,0.000693967
487,5.19E-05,0.000804604,0.000670165
488,5.11E-05,0.000846423,0.000649836
489,4.92E-05,0.000891779,0.00063329
490,4.70E-05,0.000941829,0.000621067
491,4.52E-05,0.000999519,0.000614812
492,4.44E-05,0.001064557,0.000613922
493,4.45E-05,0.001139699,0.000618614
494,4.49E-05,0.001228609,0.000628908
495,4.52E-05,0.001334974,0.000644818
