			
			
			
Name	red_spectrum	green_spectrum	blue_spectrum
Date	01/02/2018	01/02/2018	01/02/2018
Time	05:22pm	05:22pm	05:23pm
Integration time [ms]	848	2010	2454
Luminance[cd/sqm]	7.14E+01	1.56E+02	2.10E+01
Radiance[W/sr*sqm]	2.67E-01	3.33E-01	2.25E-01
CCT [K]	0	0	0
DWl[nm]	611	533	468
PE[%]	93.3	72.3	88.7
x	0.6466	0.2216	0.1526
y	0.3311	0.6643	0.0812
u'	0.4553	0.0842	0.1663
v'	0.5246	0.5679	0.1992
Reference Illuminant	Planckian radiator	Planckian radiator	Planckian radiator
CCT [K]	0	0	0
R1	0	0	0
R2	0	0	0
R3	0	0	0
R4	0	0	0
R5	0	0	0
R6	0	0	0
R7	0	0	0
R8	0	0	0
R9	0	0	0
R10	0	0	0
R11	0	0	0
R12	0	0	0
R13	0	0	0
R14	0	0	0
Ra	0	0	0
			
wavelength [nm]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]	Radiance[W/(sr*sqm*nm)]
			
380	3.19025E-06	2.39237E-06	4.7729E-06
381	2.43607E-06	3.15968E-06	3.71564E-06
382	1.65095E-06	3.4537E-06	2.84142E-06
383	9.67319E-07	3.12186E-06	2.33014E-06
384	4.45405E-07	2.3568E-06	2.13791E-06
385	1.24374E-07	1.41788E-06	2.17191E-06
386	4.02379E-08	5.47141E-07	2.3779E-06
387	2.28604E-07	0	2.6552E-06
388	6.51685E-07	0	2.96199E-06
389	1.13227E-06	0	3.30896E-06
390	1.48554E-06	0	3.71179E-06
391	1.53449E-06	6.13695E-09	4.18583E-06
392	1.12625E-06	9.77711E-08	4.74645E-06
393	4.01839E-07	9.4069E-08	5.4294E-06
394	0	4.8875E-08	6.28603E-06
395	0	1.59951E-08	7.3662E-06
396	9.6212E-09	4.71588E-08	8.7227E-06
397	1.55153E-06	1.89381E-07	1.03939E-05
398	3.83407E-06	4.72135E-07	1.23946E-05
399	6.40959E-06	9.18301E-07	1.47301E-05
400	8.84615E-06	1.54993E-06	1.74055E-05
401	1.07618E-05	2.39556E-06	2.04895E-05
402	1.19103E-05	3.4242E-06	2.38699E-05
403	1.24653E-05	4.50027E-06	2.73262E-05
404	1.26478E-05	5.47715E-06	3.06223E-05
405	1.26738E-05	6.2115E-06	3.35277E-05
406	1.27464E-05	6.57282E-06	3.58531E-05
407	1.28453E-05	6.57227E-06	3.78736E-05
408	1.27696E-05	6.34642E-06	4.02844E-05
409	1.2316E-05	6.03314E-06	4.37801E-05
410	1.12858E-05	5.76749E-06	4.90411E-05
411	9.59099E-06	5.65908E-06	5.67034E-05
412	7.66357E-06	5.66763E-06	6.69673E-05
413	6.11269E-06	5.71108E-06	7.99384E-05
414	5.5369E-06	5.70881E-06	9.57207E-05
415	6.52051E-06	5.58239E-06	0.00011443
416	9.29158E-06	5.34425E-06	0.00013789
417	1.33833E-05	5.12468E-06	0.000170002
418	1.82735E-05	5.08044E-06	0.000215118
419	2.34443E-05	5.36693E-06	0.000277553
420	2.83924E-05	6.11718E-06	0.000360805
421	3.27305E-05	7.2038E-06	0.000458709
422	3.617E-05	8.33088E-06	0.000558947
423	3.84205E-05	9.2009E-06	0.000649132
424	3.91945E-05	9.51919E-06	0.000716999
425	3.86141E-05	9.25329E-06	0.000762006
426	3.81973E-05	9.26937E-06	0.000823603
427	3.97929E-05	1.06298E-05	0.000950361
428	4.52084E-05	1.43798E-05	0.001189927
429	5.6166E-05	2.15145E-05	0.001587617
430	7.25069E-05	3.19158E-05	0.002136744
431	9.20819E-05	4.4276E-05	0.002775852
432	0.000112494	5.7166E-05	0.003436352
433	0.000131424	6.91906E-05	0.004051909
434	0.000146769	7.90769E-05	0.004562508
435	0.000157585	8.62173E-05	0.00494271
436	0.000163552	9.03566E-05	0.005185967
437	0.00016395	9.10211E-05	0.005273254
438	0.000158258	8.78459E-05	0.005191645
439	0.000147063	8.12049E-05	0.004959339
440	0.000132767	7.26847E-05	0.004645622
441	0.000118079	6.4058E-05	0.004329565
442	0.000105392	5.69245E-05	0.004079173
443	9.69788E-05	5.27885E-05	0.003959766
444	9.26157E-05	5.15084E-05	0.003963026
445	9.08232E-05	5.21178E-05	0.004043732
446	9.01108E-05	5.36426E-05	0.004156345
